Senator,State,BirthDate,DateInOffice,AgeAtTakingOfficeYear,AgeAtTakingOfficeDay,YearsInOffice,CurrentAgeYear,Party,BelieveClimateChange,NotableQuote,YearNextElection,ProportionOfConstituentsWhoBelieveInClimateChange,PercentMarginOfSenateWin,PercentMarginOfPresidentialCandidateVictory,115Member,114Member
Harry Reid,Nevada,2-Dec-39,3-Jan-87,"47 years, 32 days",,30,"76 years, 354 days",Democratic,Yes,,na,,,,0,1
Dean Heller,Nevada,10-May-60,9-May-11,"50 years, 364 days",,6,"56 years, 194 days",Republican,No,,2018,,,,1,1
Kelly Ayotte,New Hampshire,27-Jun-68,3-Jan-11,"42 years, 190 days",,6,"48 years, 146 days",Republican,Yes,,na,,,,0,1
Maggie Hassan,New Hampshire,27-Feb-58,3-Jan-17,"58 years, 310 days",,0,"58 years, 310 days",Democratic,Yes,,2022,,,,1,0
Bob Menendez,New Jersey,1-Jan-54,18-Jan-06,"52 years, 17 days",,11,"62 years, 324 days",Democratic,Yes,,2018,,,,1,1
Cory Booker,New Jersey,27-Apr-69,31-Oct-13,"44 years, 187 days",,3,"47 years, 207 days",Democratic,Yes,,2020,,,,1,1
Martin Heinrich,New Mexico,17-Oct-71,3-Jan-13,"41 years, 78 days",,4,"45 years, 34 days",Democratic,Yes,,2018,,,,1,1
Tom Udall,New Mexico,18-May-48,3-Jan-09,"60 years, 230 days",,8,"68 years, 186 days",Democratic,Yes,,2020,,,,1,1
Chuck Schumer,New York,23-Nov-50,3-Jan-99,"48 years, 41 days",,18,"65 years, 363 days",Democratic,Yes,,2022,,,,1,1
Kirsten Gillibrand,New York,9-Dec-66,26-Jan-09,"42 years, 48 days",,8,"49 years, 347 days",Democratic,Yes,,2018,,,,1,1
Richard Burr,North Carolina,30-Nov-55,3-Jan-05,"49 years, 34 days",,12,"60 years, 356 days",Republican,No,,2022,,,,1,1
Thom Tillis,North Carolina,30-Aug-60,3-Jan-15,"54 years, 126 days",,2,"56 years, 82 days",Republican,No,,2020,,,,1,1
Deb Fischer,Nebraska,1-Mar-51,3-Jan-13,"61 years, 308 days",,4,"65 years, 264 days",Republican,No,,2018,,,,1,1
Heidi Heitkamp,North Dakota,30-Oct-55,3-Jan-13,"57 years, 65 days",,4,"61 years, 21 days",Democratic,Yes,,2018,,,,1,1
John Hoeven,North Dakota,13-Mar-57,3-Jan-11,"53 years, 296 days",,6,"59 years, 252 days",Republican,No,,2022,,,,1,1
Rob Portman,Ohio,19-Dec-55,3-Jan-11,"55 years, 15 days",,6,"60 years, 337 days",Republican,No,,2022,,,,1,1
Sherrod Brown,Ohio,9-Nov-52,3-Jan-07,"54 years, 55 days",,10,"64 years, 11 days",Democratic,Yes,,2018,,,,1,1
James Lankford,Oklahoma,4-Mar-68,3-Jan-15,"46 years, 305 days",,2,"48 years, 261 days",Republican,No,,2022,,,,1,1
Jim Inhofe,Oklahoma,17-Nov-34,17-Nov-94,"60 years, 0 days",,22,"82 years, 3 days",Republican,No,,2020,,,,1,1
Jeff Merkley,Oregon,24-Oct-56,3-Jan-09,"52 years, 71 days",,8,"60 years, 27 days",Democratic,Yes,,2020,,,,1,1
Ron Wyden,Oregon,3-May-49,6-Feb-96,"46 years, 279 days",,21,"67 years, 201 days",Democratic,Yes,,2022,,,,1,1
"Bob Casey, Jr.",Pennsylvania,13-Apr-60,3-Jan-07,"46 years, 265 days",,10,"56 years, 221 days",Democratic,Yes,,2018,,,,1,1
Pat Toomey,Pennsylvania,17-Nov-61,3-Jan-11,"49 years, 47 days",,6,"55 years, 3 days",Republican,No,,2022,,,,1,1
Jack Reed,Rhode Island,12-Nov-49,3-Jan-97,"47 years, 52 days",,20,"67 years, 8 days",Democratic,Yes,,2020,,,,1,1
Sheldon Whitehouse,Rhode Island,20-Oct-55,3-Jan-07,"51 years, 75 days",,10,"61 years, 31 days",Democratic,Yes,,2018,,,,1,1
Lindsey Graham,South Carolina,9-Jul-55,3-Jan-03,"47 years, 178 days",,14,"61 years, 134 days",Republican,Yes,,2020,,,,1,1
Tim Scott,South Carolina,19-Sep-65,2-Jan-13,"47 years, 105 days",,4,"51 years, 62 days",Republican,No,,2022,,,,1,1
John Thune,South Dakota,7-Jan-61,3-Jan-05,"43 years, 362 days",,12,"55 years, 318 days",Republican,No,,2022,,,,1,1
Mike Rounds,South Dakota,24-Oct-54,3-Jan-15,"60 years, 71 days",,2,"62 years, 27 days",Republican,No,,2020,,,,1,1
Bob Corker,Tennessee,24-Aug-52,3-Jan-07,"54 years, 132 days",,10,"64 years, 88 days",Republican,No,,2018,,,,1,1
John Cornyn,Texas,2-Feb-52,1-Dec-02,"50 years, 302 days",,14,"64 years, 292 days",Republican,No,,2020,,,,1,1
Ted Cruz,Texas,22-Dec-70,3-Jan-13,"42 years, 12 days",,4,"45 years, 334 days",Republican,No,,2018,,,,1,1
Mike Lee,Utah,4-Jun-71,3-Jan-11,"39 years, 213 days",,6,"45 years, 169 days",Republican,No,,2022,,,,1,1
Orrin Hatch,Utah,22-Mar-34,3-Jan-77,"42 years, 287 days",,40,"82 years, 243 days",Republican,No,,2018,,,,1,1
Bernie Sanders,Vermont,8-Sep-41,3-Jan-07,"65 years, 117 days",,10,"75 years, 73 days",Independent,Yes,,2018,,,,1,1
Patrick Leahy,Vermont,31-Mar-40,3-Jan-75,"34 years, 278 days",,42,"76 years, 234 days",Democratic,Yes,,2022,,,,1,1
Mark Warner,Virginia,15-Dec-54,3-Jan-09,"54 years, 19 days",,8,"61 years, 341 days",Democratic,Yes,,2020,,,,1,1
Tim Kaine,Virginia,26-Feb-58,3-Jan-13,"54 years, 312 days",,4,"58 years, 268 days",Democratic,Yes,,2018,,,,1,1
Maria Cantwell,Washington,13-Oct-58,3-Jan-01,"42 years, 82 days",,16,"58 years, 38 days",Democratic,Yes,,2018,,,,1,1
Patty Murray,Washington,11-Oct-50,3-Jan-93,"42 years, 84 days",,24,"66 years, 40 days",Democratic,Yes,,2022,,,,1,1
Joe Manchin,West Virginia,24-Aug-47,15-Nov-10,"63 years, 83 days",,6,"69 years, 88 days",Democratic,Yes,,2018,,,,1,1
Shelley Moore Capito,West Virginia,26-Nov-53,3-Jan-15,"61 years, 38 days",,2,"62 years, 360 days",Republican,No,,2020,,,,1,1
Tammy Baldwin,Wisconsin,11-Feb-62,3-Jan-13,"50 years, 327 days",,4,"54 years, 283 days",Democratic,Yes,,2018,,,,1,1
Ron Johnson,Wisconsin,8-Apr-55,3-Jan-11,"55 years, 270 days",,5,"61 years, 226 days",Republican,No,,2022,,,,1,1
John Barrasso,Wyoming,21-Jul-52,25-Jun-07,"54 years, 339 days",,9,"64 years, 122 days",Republican,No,,2018,,,,1,1
Mike Enzi,Wyoming,1-Feb-44,3-Jan-97,"52 years, 337 days",,20,"72 years, 293 days",Republican,No,,2020,,,,1,1
