District,Party,Representative,MarginOfVictory,TotalVotes,MainOpposition,BelieveClimateChange,BirthDate,DateInOffice,AgeAtTakingOfficeYear,YearsInOffice,AgeAtTakingOfficeDay,NotableQuote,YearNextElection,114Member,115Member,ProportionOfConstituentsWhoBelieveInClimateChange,PercentMarginOfPresidentialCandidateVictory
California District 8,Republican,Paul Cook,26.2%,"199,895",Rita Ramirez,,,,,,,,,1,,,
California District 9,Democratic,Jerry McNerney,14.2%,"158,976",Antonio Amador,,,,,,,,,1,,,
California District 10,Republican,Jeff Denham,4.4%,"201,247",Michael Eggman,,,,,,,,,1,,,
California District 11,Democratic,Mark DeSaulnier,43.2%,"258,346",Roger Petersen,,,,,,,,,1,,,
California District 12,Democratic,Nancy Pelosi,62.4%,"280,895",Preston Picus,,,,,,,,,1,,,
California District 13,Democratic,Barbara Lee,81.5%,"275,475",Sue Caro,,,,,,,,,1,,,
California District 14,Democratic,Jackie Speier,61.8%,"232,685",Angel Cardenas,,,,,,,,,1,,,
California District 15,Democratic,Eric Swalwell,47.0%,"223,391",Danny Turner,,,,,,,,,1,,,
California District 16,Democratic,Jim Costa,15.4%,"123,598",Johnny Tacherra,,,,,,,,,1,,,
California District 17,Democratic,Ro Khanna,22.1%,"215,604",Mike Honda,,,,,,,,,1,,,
California District 18,Democratic,Anna Eshoo,42.4%,"291,112",Richard Fox,,,,,,,,,1,,,
California District 19,Democratic,Zoe Lofgren,47.9%,"229,146",G. Burt Lancaster,,,,,,,,,1,,,
California District 20,Democratic,Jimmy Panetta,40.0%,"161,775",Casey Lucius,,,,,,,,,1,,,
California District 21,Republican,David Valadao,15.7%,"113,819",Emilio Huerta,,,,,,,,,1,,,
California District 22,Republican,Devin Nunes,37.0%,"183,429",Louie Campos,,,,,,,,,1,,,
California District 23,Republican,Kevin McCarthy,40.9%,"207,120",Wendy Reed,,,,,,,,,1,,,
California District 24,Democratic,Salud Carbajal,6.8%,"255,351",Justin Fareed,,,,,,,,,1,,,
California District 25,Republican,Stephen Knight,9.0%,"188,737",Bryan Caforio,,,,,,,,,1,,,
California District 26,Democratic,Julia Brownley,19.9%,"224,457",Rafael Dagnesses,,,,,,,,,1,,,
California District 27,Democratic,Judy Chu,32.8%,"187,843",Jack Orswell,,,,,,,,,1,,,
California District 28,Democratic,Adam Schiff,56.0%,"200,591",Lenore Solis,,,,,,,,,1,,,
California District 29,Democratic,Tony Cardenas,50.3%,"122,842",Richard Alarcon,,,,,,,,,1,,,
California District 30,Democratic,Brad Sherman,44.7%,"208,527",Mark Reed,,,,,,,,,1,,,
California District 31,Democratic,Pete Aguilar,11.0%,"193,492",Paul Chabot,,,,,,,,,1,,,
California District 32,Democratic,Grace Napolitano,24.5%,"138,888",Roger Hernandez,,,,,,,,,1,,,
California District 33,Democratic,Ted Lieu,33.0%,"244,162",Kenneth Wright,,,,,,,,,1,,,
California District 34,Democratic,Xavier Becerra,57.1%,"115,218",Adrienne Nicole Edwards,,,,,,,,,1,,,
California District 35,Democratic,Norma Torres,43.2%,"146,850",Tyler Fischella,,,,,,,,,1,,,
California District 36,Democratic,Raul Ruiz,22.2%,"193,010",Jeff Stone,,,,,,,,,1,,,
California District 37,Democratic,Karen Bass,64.4%,"170,679",Chris Blake Wiggins,,,,,,,,,1,,,
California District 38,Democratic,Linda Sanchez,39.6%,"172,684",Ryan Downing,,,,,,,,,1,,,
California District 39,Republican,Edward Royce,16.5%,"218,423",Brett Murdock,,,,,,,,,1,,,
California District 40,Democratic,Lucille Roybal-Allard,44.0%,"108,717",Roman Gonzalez,,,,,,,,,1,,,
California District 41,Democratic,Mark Takano,27.3%,"158,430",Doug Shepherd,,,,,,,,,1,,,
California District 42,Republican,Ken Calvert,18.4%,"211,284",Tim Sheridan,,,,,,,,,1,,,
California District 43,Democratic,Maxine Waters,51.3%,"157,733",Omar Navarro,,,,,,,,,1,,,
California District 44,Democratic,Nanette Barragan,2.0%,"129,708",Isadore Hall,,,,,,,,,1,,,
California District 45,Republican,Mimi Walters,18.9%,"269,084",Ron Varasteh,,,,,,,,,1,,,
California District 46,Democratic,Lou Correa,39.9%,"129,654",Bao Nguyen,,,,,,,,,1,,,
California District 47,Democratic,Alan Lowenthal,25.0%,"186,499",Andy Whallon,,,,,,,,,1,,,
California District 48,Republican,Dana Rohrabacher,17.6%,"264,352",Suzanne Savary,,,,,,,,,1,,,
California District 49,Republican,Darrell Issa,1.9%,"241,550",Douglas Applegate,,,,,,,,,1,,,
California District 50,Republican,Duncan Hunter,28.0%,"215,634",Patrick Malloy,,,,,,,,,1,,,
California District 51,Democratic,Juan Vargas,43.9%,"128,119",Juan Hidalgo Jr.,,,,,,,,,1,,,
California District 52,Democratic,Scott Peters,13.0%,"237,754",Denise Gitsham,,,,,,,,,1,,,
California District 53,Democratic,Susan Davis,32.2%,"211,593",James Veltmeyer,,,,,,,,,1,,,
Colorado District 1,Democratic,Diana DeGette,39.5%,"285,317",Casper Stockham,,,,,,,,,1,,,
Colorado District 2,Democratic,Jared Polis,19.4%,"443,866",Nicholas Morse,,,,,,,,,1,,,
Colorado District 3,Republican,Scott Tipton,14.0%,"351,707",Gail Schwartz,,,,,,,,,1,,,
Colorado District 4,Republican,Ken Buck,32.3%,"378,598",Bob Seay,,,,,,,,,1,,,
Colorado District 5,Republican,Doug Lamborn,32.0%,"356,062",Misty Plowright,,,,,,,,,1,,,
Colorado District 6,Republican,Mike Coffman,9.0%,"352,284",Morgan Carroll,,,,,,,,,1,,,
Colorado District 7,Democratic,Ed Perlmutter,15.2%,"335,283",George Athanasopoulos,,,,,,,,,1,,,
Connecticut District 1,Democratic,John Larson,29.3%,"303,537",Matthew Corey,,,,,,,,,1,,,
Connecticut District 2,Democratic,Joe Courtney,29.1%,"329,519",Daria Novak,,,,,,,,,1,,,
Connecticut District 3,Democratic,Rosa DeLauro,37.3%,"304,270",Angel Cadena,,,,,,,,,1,,,
Connecticut District 4,Democratic,Jim Himes,20.1%,"309,558",John Shaban,,,,,,,,,1,,,
Connecticut District 5,Democratic,Elizabeth Esty,15.9%,"301,630",Clay Cope,,,,,,,,,1,,,
Delaware's At-Large District,Democratic,Lisa Blunt Rochester,14.6%,"420,593",Hans Reigle,,,,,,,,,1,,,
Florida District 1,Republican,Matt Gaetz,38.2%,"367,866",Steven Specht,,,,,,,,,1,,,
Florida District 2,Republican,Neal Dunn,37.4%,"342,818",Walter Dartland,,,,,,,,,1,,,
Florida District 3,Republican,Ted Yoho,16.9%,"341,387",Kenneth McGurn,,,,,,,,,1,,,
Florida District 4,Republican,John Rutherford,42.7%,"407,261",David Bruderly,,,,,,,,,1,,,
Florida District 5,Democratic,Al Lawson,28.4%,"301,214",Glo Smith,,,,,,,,,1,,,
Florida District 6,Republican,Ron DeSantis,17.2%,"363,857",William McCullough,,,,,,,,,1,,,
Florida District 7,Democratic,Stephanie Murphy,2.9%,"353,170",John Mica,,,,,,,,,1,,,
Florida District 8,Republican,Bill Posey,30.6%,"390,143",Corry Westbrook,,,,,,,,,1,,,
Florida District 9,Democratic,Darren Soto,14.9%,"339,244",Wayne Liebnitzky,,,,,,,,,1,,,
Florida District 10,Democratic,Val Demings,29.7%,"305,732",Thuy Lowe,,,,,,,,,1,,,
Florida District 11,Republican,Daniel Webster,33.8%,"394,441",Dave Koller,,,,,,,,,1,,,
Florida District 12,Republican,Gus Bilirakis,37.2%,"369,256",Robert Tager,,,,,,,,,1,,,
Florida District 13,Democratic,Charlie Crist,3.8%,"355,335",David Jolly,,,,,,,,,1,,,
Florida District 14,Democratic,Kathy Castor,23.5%,"315,435",Christine Quinn,,,,,,,,,1,,,
Florida District 15,Republican,Dennis Ross,15.0%,"317,443",Jim Lange,,,,,,,,,1,,,
Florida District 16,Republican,Vern Buchanan,19.6%,"385,041",Jan Schneider,,,,,,,,,1,,,
Florida District 17,Republican,Thomas Rooney,27.6%,"338,272",April Freeman,,,,,,,,,1,,,
Florida District 18,Republican,Brian Mast,10.6%,"374,790",Randy Perkins,,,,,,,,,1,,,
Florida District 19,Republican,Francis Rooney,31.8%,"362,600",Robert Neeld,,,,,,,,,1,,,
Florida District 20,Democratic,Alcee Hastings,60.6%,"274,531",Gary Stein,,,,,,,,,1,,,
Florida District 21,Democratic,Lois Frankel,27.5%,"333,420",Paul Spain,,,,,,,,,1,,,
Florida District 22,Democratic,Ted Deutch,18.0%,"335,087",Andrea Leigh McGee,,,,,,,,,1,,,
Florida District 23,Democratic,Debbie Wasserman Schultz,16.2%,"319,314",Joe Kaufman,,,,,,,,,1,,,
Florida District 24,Democratic,Frederica Wilson,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Florida District 25,Republican,Mario Diaz-Balart,24.8%,"252,756",Alina Valdes,,,,,,,,,1,,,
Florida District 26,Republican,Carlos Curbelo,11.8%,"280,284",Joe Garcia,,,,,,,,,1,,,
Florida District 27,Republican,Ileana Ros-Lehtinen,9.8%,"287,311",Scott Fuhrman,,,,,,,,,1,,,
Georgia District 1,Republican,"Earl ""Buddy"" Carter",100.0%,Pending,Unopposed,,,,,,,,,1,,,
Georgia District 2,Democratic,"Sanford Bishop, Jr.",22.1%,"239,676",Greg Duke,,,,,,,,,1,,,
Georgia District 3,Republican,Drew Ferguson,36.7%,"302,666",Angela Pendley,,,,,,,,,1,,,
Georgia District 4,Democratic,Hank Johnson,51.2%,"283,353",Victor Armendariz,,,,,,,,,1,,,
Georgia District 5,Democratic,John Lewis,69.2%,"285,805",Douglas Bell,,,,,,,,,1,,,
Georgia District 6,Republican,Tom Price,23.2%,"311,328",Rodney Stooksbury,,,,,,,,,1,,,
Georgia District 7,Republican,Rob Woodall,20.9%,"287,231",Rashid Malik,,,,,,,,,1,,,
Georgia District 8,Republican,Austin Scott,35.4%,"253,432",James Neal Harris,,,,,,,,,1,,,
Georgia District 9,Republican,Doug Collins,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Georgia District 10,Republican,Jody Hice,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Georgia District 11,Republican,Barry Loudermilk,35.0%,"321,173",Don Wilson,,,,,,,,,1,,,
Georgia District 12,Republican,Rick Allen,23.2%,"257,575",Tricia Carpenter McCracken,,,,,,,,,1,,,
Georgia District 13,Democratic,David Scott,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Georgia District 14,Republican,Tom Graves,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Hawaii District 1,Democratic,Colleen Hanabusa,49.2%,"202,276",Shirlene Ostrov,,,,,,,,,1,,,
Hawaii District 2,Democratic,Tulsi Gabbard,62.3%,"210,491",Angela Aulani Kaaihue,,,,,,,,,1,,,
Idaho District 1,Republican,Raul Labrador,36.1%,"347,432",James Piotrowski,,,,,,,,,1,,,
Idaho District 2,Republican,Michael Simpson,33.7%,"331,712",Jennifer Martinez,,,,,,,,,1,,,
Illinois District 1,Democratic,Bobby Rush,46.9%,"301,712",August (O'Neill) Deuser,,,,,,,,,1,,,
Illinois District 2,Democratic,Robin Kelly,59.2%,"287,972",John Morrow,,,,,,,,,1,,,
Illinois District 3,Democratic,Daniel Lipinski,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Illinois District 4,Democratic,Luis Gutierrez,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Illinois District 5,Democratic,Mike Quigley,40.0%,"298,781",Vince Kolber,,,,,,,,,1,,,
Illinois District 6,Republican,Peter Roskam,19.0%,"345,769",Amanda Howland,,,,,,,,,1,,,
Illinois District 7,Democratic,Danny K. Davis,68.0%,"276,564",Jeffrey Leef,,,,,,,,,1,,,
Illinois District 8,Democratic,Raja Krishnamoorthi,16.1%,"243,031",Pete DiCianni,,,,,,,,,1,,,
Illinois District 9,Democratic,Janice Schakowsky,32.0%,"309,754",Joan McCarthy Lasonde,,,,,,,,,1,,,
Illinois District 10,Democratic,Brad Schneider,5.0%,"280,682",Robert Dold,,,,,,,,,1,,,
Illinois District 11,Democratic,Bill Foster,19.7%,"263,421",Tonia Khouri,,,,,,,,,1,,,
Illinois District 12,Republican,Mike Bost,14.6%,"311,700",C.J. Baricevic,,,,,,,,,1,,,
Illinois District 13,Republican,Rodney Davis,19.5%,"312,723",Mark Wicklund,,,,,,,,,1,,,
Illinois District 14,Republican,Randy Hultgren,19.0%,"332,324",Jim Walz,,,,,,,,,1,,,
Illinois District 15,Republican,John Shimkus,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Illinois District 16,Republican,Adam Kinzinger,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Illinois District 17,Democratic,Cheri Bustos,20.3%,"283,887",Patrick Harlan,,,,,,,,,1,,,
Illinois District 18,Republican,Darin LaHood,44.4%,"344,442",Junius Rodriguez,,,,,,,,,1,,,
Indiana District 1,Democratic,Peter Visclosky,63.0%,"254,308",Donna Dunn,,,,,,,,,1,,,
Indiana District 2,Republican,Jackie Walorski,22.3%,"277,202",Lynn Coleman,,,,,,,,,1,,,
Indiana District 3,Republican,Jim Banks,47.2%,"286,906",Tommy Schrader,,,,,,,,,1,,,
Indiana District 4,Republican,Todd Rokita,34.1%,"299,183",John Dale,,,,,,,,,1,,,
Indiana District 5,Republican,Susan Brooks,27.2%,"360,900",Angela Demaree,,,,,,,,,1,,,
Indiana District 6,Republican,Luke Messer,42.5%,"296,244",Barry Welsh,,,,,,,,,1,,,
Indiana District 7,Democratic,Andre Carson,24.3%,"264,472",Catherine Ping,,,,,,,,,1,,,
Indiana District 8,Republican,Larry Bucshon,32.0%,"294,329",Ron Drake,,,,,,,,,1,,,
Indiana District 9,Republican,Trey Hollingsworth,13.7%,"322,654",Shelli Yoder,,,,,,,,,1,,,
Iowa District 1,Republican,Rod Blum,7.8%,"382,720",Monica Vernon,,,,,,,,,1,,,
Iowa District 2,Democratic,Dave Loebsack,7.0%,"368,331",Christopher Peters,,,,,,,,,1,,,
Iowa District 3,Republican,David Young,13.7%,"389,137",Jim Mowrer,,,,,,,,,1,,,
Iowa District 4,Republican,Steve King,22.8%,"367,854",Kim Weaver,,,,,,,,,1,,,
Kansas District 1,Republican,Roger Marshall,39.8%,"250,684",Kerry Burt,,,,,,,,,1,,,
Kansas District 2,Republican,Lynn Jenkins,29.0%,"291,112",Britani Potter,,,,,,,,,1,,,
Kansas District 3,Republican,Kevin Yoder,10.7%,"334,322",Jay Sidie,,,,,,,,,1,,,
Kansas District 4,Republican,Mike Pompeo,31.6%,"268,006",Daniel Giroux,,,,,,,,,1,,,
Kentucky District 1,Republican,James Comer,45.0%,"298,667",Sam Gaskins,,,,,,,,,1,,,
Kentucky District 2,Republican,Brett Guthrie,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Kentucky District 3,Democratic,John Yarmuth,27.0%,"334,473",Harold Bratcher,,,,,,,,,1,,,
Kentucky District 4,Republican,Thomas Massie,42.6%,"327,986",Calvin Sidle,,,,,,,,,1,,,
Kentucky District 5,Republican,Hal Rogers,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Kentucky District 6,Republican,Andy Barr,22.2%,"330,819",Nancy Jo Kemper,,,,,,,,,1,,,
Louisiana District 1,Republican,Steve Scalise,61.8%,"326,660",Lee Ann Dugas,,,,,,,,,1,,,
Louisiana District 2,Democratic,Cedric Richmond,49.7%,"284,078",Kip Holden,,,,,,,,,1,,,
Louisiana District 3,Pending,Pending,Pending,"304,439",Pending,,,,,,,,,1,,,
Louisiana District 4,Pending,Pending,Pending,Pending,Pending,,,,,,,,,1,,,
Louisiana District 5,Republican,Ralph Abraham,63.1%,"255,610",Billy Burkette,,,,,,,,,1,,,
Louisiana District 6,Republican,Garret Graves,48.0%,"331,012",Richard Lieberman,,,,,,,,,1,,,
Maine District 1,Democratic,Chellie Pingree,15.8%,"389,476",Mark Holbrook,,,,,,,,,1,,,
Maine District 2,Republican,Bruce Poliquin,9.8%,"350,147",Emily Ann Cain,,,,,,,,,1,,,
Maryland District 1,Republican,Andy Harris,39.7%,"338,118",Joe Werner,,,,,,,,,1,,,
Maryland District 2,Democratic,Dutch Ruppersberger,29.0%,"276,953",Pat McDonough,,,,,,,,,1,,,
Maryland District 3,Democratic,John Sarbanes,28.0%,"309,419",Mark Plaster,,,,,,,,,1,,,
Maryland District 4,Democratic,Anthony Brown,52.5%,"294,520",George McDermott,,,,,,,,,1,,,
Maryland District 5,Democratic,Steny Hoyer,37.6%,"332,383",Mark Arness,,,,,,,,,1,,,
Maryland District 6,Democratic,John Delaney,14.4%,"302,053",Amie Hoeber,,,,,,,,,1,,,
Maryland District 7,Democratic,Elijah Cummings,53.2%,"282,244",Corrogan Vaughn,,,,,,,,,1,,,
Maryland District 8,Democratic,Jamie Raskin,23.7%,"323,172",Dan Cox,,,,,,,,,1,,,
Massachusetts District 1,Democratic,Richard Neal,55.4%,"317,963",Frederick Mayock,,,,,,,,,1,,,
Massachusetts District 2,Democratic,Jim McGovern,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Massachusetts District 3,Democratic,Niki Tsongas,37.4%,"341,243",Ann Wofford,,,,,,,,,1,,,
Massachusetts District 4,Democratic,Joseph Kennedy III,40.0%,"373,246",David Rosa,,,,,,,,,1,,,
Massachusetts District 5,Democratic,Katherine Clark,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Massachusetts District 6,Democratic,Seth Moulton,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Massachusetts District 7,Democratic,Michael Capuano,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Massachusetts District 8,Democratic,Stephen Lynch,44.8%,"370,090",William Burke,,,,,,,,,1,,,
Massachusetts District 9,Democratic,William Keating,22.0%,"376,723",Mark Alliegro,,,,,,,,,1,,,
Michigan District 1,Republican,Jack Bergman,15.6%,"363,630",Lon Johnson,,,,,,,,,1,,,
Michigan District 2,Republican,Bill Huizenga,30.3%,"339,598",Dennis Murphy,,,,,,,,,1,,,
Michigan District 3,Republican,Justin Amash,21.9%,"341,602",Douglas Smith,,,,,,,,,1,,,
Michigan District 4,Republican,John Moolenaar,29.5%,"315,744",Debra Wirth,,,,,,,,,1,,,
Michigan District 5,Democratic,Dan Kildee,26.1%,"318,877",Allen Hardwick,,,,,,,,,1,,,
Michigan District 6,Republican,Fred Upton,22.2%,"328,972",Paul Clements,,,,,,,,,1,,,
Michigan District 7,Republican,Tim Walberg,14.9%,"333,648",Gretchen Driskell,,,,,,,,,1,,,
Michigan District 8,Republican,Mike Bishop,16.9%,"366,934",Suzanna Shkreli,,,,,,,,,1,,,
Michigan District 9,Democratic,Sander Levin,20.5%,"344,701",Christopher Morse,,,,,,,,,1,,,
Michigan District 10,Republican,Paul Mitchell,30.7%,"339,734",Frank Accavitti Jr.,,,,,,,,,1,,,
Michigan District 11,Republican,David Trott,12.7%,"378,304",Anil Kumar,,,,,,,,,1,,,
Michigan District 12,Democratic,Debbie Dingell,35.1%,"327,770",Jeff Jones,,,,,,,,,1,,,
Michigan District 13,Democratic,"John Conyers, Jr.",61.2%,"256,033",Jeff Gorman,,,,,,,,,1,,,
Michigan District 14,Democratic,Brenda Lawrence,59.8%,"310,651",Howard Klausner,,,,,,,,,1,,,
Minnesota District 1,Democratic,Tim Walz,0.7%,"335,524",Jim Hagedorn,,,,,,,,,1,,,
Minnesota District 2,Republican,Jason Lewis,1.9%,"369,946",Angie Craig,,,,,,,,,1,,,
Minnesota District 3,Republican,Erik Paulsen,13.7%,"392,313",Terri Bonoff,,,,,,,,,1,,,
Minnesota District 4,Democratic,Betty McCollum,23.3%,"350,538",Greg Ryan,,,,,,,,,1,,,
Minnesota District 5,Democratic,Keith Ellison,47.0%,"361,376",Frank Drake,,,,,,,,,1,,,
Minnesota District 6,Republican,Tom Emmer,31.4%,"358,396",David Snyder,,,,,,,,,1,,,
Minnesota District 7,Democratic,Collin Peterson,5.0%,"330,521",Dave Hughes,,,,,,,,,1,,,
Minnesota District 8,Democratic,Rick Nolan,0.6%,"356,201",Stewart Mills,,,,,,,,,1,,,
Mississippi District 1,Republican,Trent Kelly,41.0%,"295,087",Jacob Owens,,,,,,,,,1,,,
Mississippi District 2,Democratic,Bennie Thompson,37.4%,"271,126",John Bouie II,,,,,,,,,1,,,
Mississippi District 3,Republican,Gregg Harper,36.0%,"303,726",Dennis Quinn,,,,,,,,,1,,,
Mississippi District 4,Republican,Steven Palazzo,37.5%,"268,234",Mark Gladney,,,,,,,,,1,,,
Missouri District 1,Democratic,William Lacy Clay,55.5%,"306,810",Steven Bailey,,,,,,,,,1,,,
Missouri District 2,Republican,Ann Wagner,21.0%,"407,617",Bill Otto,,,,,,,,,1,,,
Missouri District 3,Republican,Blaine Luetkemeyer,39.9%,"366,856",Kevin Miller,,,,,,,,,1,,,
Missouri District 4,Republican,Vicky Hartzler,40.0%,"331,774",Gordon Christensen,,,,,,,,,1,,,
Missouri District 5,Democratic,Emanuel Cleaver,20.0%,"317,455",Jacob Turk,,,,,,,,,1,,,
Missouri District 6,Republican,Sam Graves,39.8%,"347,779",David Blackwell,,,,,,,,,1,,,
Missouri District 7,Republican,Billy Long,40.2%,"337,467",Genevieve Williams,,,,,,,,,1,,,
Missouri District 8,Republican,Jason Smith,52.0%,"308,656",Dave Cowell,,,,,,,,,1,,,
Montana's At-Large District,Republican,Ryan Zinke,15.8%,"498,179",Denise Juneau,,,,,,,,,1,,,
Nebraska District 1,Republican,Jeff Fortenberry,39.1%,"269,197",Daniel Wik,,,,,,,,,1,,,
Nebraska District 2,Republican,Don Bacon,2.0%,"272,087",Brad Ashford,,,,,,,,,1,,,
Nebraska District 3,Republican,Adrian Smith,100.0%,Pending,Unopposed,,,,,,,,,1,,,
Nevada District 1,Democratic,Dina Titus,33.0%,"187,626",Mary Perry,,,,,,,,,1,,,
Nevada District 2,Republican,Mark Amodei,21.4%,"312,711",Chip Evans,,,,,,,,,1,,,
Nevada District 3,Democratic,Jacky Rosen,1.3%,"310,510",Danny Tarkanian,,,,,,,,,1,,,
Nevada District 4,Democratic,Ruben Kihuen,3.9%,"265,391",Cresent Hardy,,,,,,,,,1,,,
New Hampshire District 1,Democratic,Carol Shea-Porter,1.3%,"366,339",Frank Guinta,,,,,,,,,1,,,
New Hampshire District 2,Democratic,Annie Kuster,4.0%,"350,189",Jim Lawrence,,,,,,,,,1,,,
New Jersey District 1,Democratic,Donald Norcross,22.9%,"298,523",Bob Patterson,,,,,,,,,1,,,
New Jersey District 2,Republican,Frank LoBiondo,22.4%,"279,524",David Cole,,,,,,,,,1,,,
New Jersey District 3,Republican,Tom MacArthur,21.0%,"297,025",Frederick John Lavergne,,,,,,,,,1,,,
New Jersey District 4,Republican,Chris Smith,30.2%,"323,362",Lorna Phillipson,,,,,,,,,1,,,
New Jersey District 5,Democratic,Josh Gottheimer,3.3%,"310,396",Scott Garrett,,,,,,,,,1,,,
New Jersey District 6,Democratic,Frank Pallone,27.3%,"239,815",Brent Sonnek-Schmelz,,,,,,,,,1,,,
New Jersey District 7,Republican,Leonard Lance,11.8%,"331,169",Peter Jacob,,,,,,,,,1,,,
New Jersey District 8,Democratic,Albio Sires,58.0%,"157,032",Agha Khan,,,,,,,,,1,,,
New Jersey District 9,Democratic,Bill Pascrell,41.5%,"218,108",Hector Castillo,,,,,,,,,1,,,
New Jersey District 10,Democratic,Donald Payne Jr.,74.0%,"208,725",David Pinckney,,,,,,,,,1,,,
New Jersey District 11,Republican,Rodney Frelinghuysen,19.4%,"331,104",Joseph Wenzel,,,,,,,,,1,,,
New Jersey District 12,Democratic,Bonnie Watson Coleman,30.3%,"257,020",Steven Uccio,,,,,,,,,1,,,
New Mexico District 1,Democratic,Michelle Lujan Grisham,30.2%,"275,441",Richard Priem,,,,,,,,,1,,,
New Mexico District 2,Republican,Steve Pearce,25.5%,"227,013",Merrie Soules,,,,,,,,,1,,,
New Mexico District 3,Democratic,Ben Ray Lujan,25.1%,"268,377",Michael H. Romero,,,,,,,,,1,,,
New York District 1,Republican,Lee Zeldin,17.9%,"296,322",Anna Throne-Holst,,,,,,,,,1,,,
New York District 2,Republican,Peter King,25.0%,"275,558",DuWayne Gregory,,,,,,,,,1,,,
New York District 3,Democratic,Tom Suozzi,5.0%,"298,338",Jack Martins,,,,,,,,,1,,,
New York District 4,Democratic,Kathleen Rice,19.0%,"292,617",David Gurfein,,,,,,,,,1,,,
New York District 5,Democratic,Gregory Meeks,72.5%,"215,478",Michael O'Reilly,,,,,,,,,1,,,
New York District 6,Democratic,Grace Meng,44.9%,"175,275",Danniel Maio,,,,,,,,,1,,,
New York District 7,Democratic,Nydia Velazquez,81.4%,"175,227",Allan Romaguera,,,,,,,,,1,,,
New York District 8,Democratic,Hakeem Jeffries,86.6%,"213,909",Daniel Cavanagh,,,,,,,,,1,,,
