id/bioguide,id/thomas,id/lis,id/govtrack,id/opensecrets,id/votesmart,id/fec/0,id/fec/1,id/cspan,id/wikipedia,id/house_history,id/ballotpedia,id/maplight,id/icpsr,id/wikidata,id/google_entity_id,name/first,name/last,name/official_full,bio/birthday,bio/gender,bio/religion,terms/0/type,terms/0/start,terms/0/end,terms/0/state,terms/0/district,terms/0/party,terms/1/type,terms/1/start,terms/1/end,terms/1/state,terms/1/district,terms/1/party,terms/2/type,terms/2/start,terms/2/end,terms/2/state,terms/2/district,terms/2/party,terms/3/type,terms/3/start,terms/3/end,terms/3/state,terms/3/district,terms/3/party,terms/4/type,terms/4/start,terms/4/end,terms/4/state,terms/4/district,terms/4/party,terms/5/type,terms/5/start,terms/5/end,terms/5/state,terms/5/district,terms/5/party,terms/5/url,terms/6/type,terms/6/start,terms/6/end,terms/6/state,terms/6/district,terms/6/party,terms/6/url,terms/7/type,terms/7/start,terms/7/end,terms/7/state,terms/7/class,terms/7/party,terms/7/url,terms/7/address,terms/7/phone,terms/7/fax,terms/7/contact_form,terms/7/office,terms/8/type,terms/8/start,terms/8/end,terms/8/state,terms/8/party,terms/8/class,terms/8/url,terms/8/address,terms/8/phone,terms/8/fax,terms/8/contact_form,terms/8/office,terms/8/state_rank,terms/8/rss_url,terms/1/class,terms/1/url,terms/2/class,terms/2/url,terms/2/address,terms/2/phone,terms/2/fax,terms/2/contact_form,terms/2/office,terms/3/class,terms/3/url,terms/3/address,terms/3/phone,terms/3/fax,terms/3/contact_form,terms/3/office,terms/3/state_rank,terms/3/rss_url,name/middle,terms/7/district,terms/8/district,terms/9/type,terms/9/start,terms/9/end,terms/9/state,terms/9/district,terms/9/party,terms/9/url,terms/10/type,terms/10/start,terms/10/end,terms/10/state,terms/10/class,terms/10/party,terms/10/url,terms/10/address,terms/10/phone,terms/10/fax,terms/10/contact_form,terms/10/office,terms/11/type,terms/11/start,terms/11/end,terms/11/state,terms/11/party,terms/11/class,terms/11/url,terms/11/address,terms/11/phone,terms/11/fax,terms/11/contact_form,terms/11/office,terms/11/state_rank,terms/11/rss_url,terms/5/class,terms/6/class,terms/6/address,terms/6/phone,terms/6/fax,terms/6/contact_form,terms/6/office,terms/7/state_rank,terms/7/rss_url,name/nickname,name/suffix,terms/0/class,terms/0/url,terms/0/address,terms/0/phone,terms/0/fax,terms/0/contact_form,terms/0/office,terms/1/address,terms/1/phone,terms/1/fax,terms/1/contact_form,terms/1/office,terms/1/state_rank,terms/1/rss_url,terms/4/class,terms/4/url,terms/4/address,terms/4/phone,terms/4/fax,terms/4/contact_form,terms/4/office,terms/4/state_rank,terms/4/rss_url,terms/5/address,terms/5/phone,terms/5/fax,terms/5/contact_form,terms/5/office,terms/6/state_rank,terms/6/rss_url,other_names/0/last,terms/9/class,terms/9/address,terms/9/phone,terms/9/fax,terms/9/contact_form,terms/9/office,terms/9/state_rank,terms/9/rss_url,terms/9/caucus,terms/2/state_rank,terms/2/rss_url,leadership_roles/0/title,leadership_roles/0/chamber,leadership_roles/0/start,leadership_roles/0/end,leadership_roles/1/title,leadership_roles/1/chamber,leadership_roles/1/start,leadership_roles/1/end,leadership_roles/2/title,leadership_roles/2/chamber,leadership_roles/2/start,leadership_roles/2/end,leadership_roles/3/title,leadership_roles/3/chamber,leadership_roles/3/start,leadership_roles/3/end,leadership_roles/4/title,leadership_roles/4/chamber,leadership_roles/4/start,leadership_roles/4/end,leadership_roles/5/title,leadership_roles/5/chamber,leadership_roles/5/start,terms/10/state_rank,terms/10/rss_url,terms/5/state_rank,terms/5/rss_url,terms/0/state_rank,terms/0/rss_url,family/0/name,family/0/relation,family/1/name,family/1/relation,family/2/name,family/2/relation,family/3/name,family/3/relation,terms/10/district,terms/11/district,terms/12/type,terms/12/start,terms/12/end,terms/12/state,terms/12/district,terms/12/party,terms/12/url,terms/13/type,terms/13/start,terms/13/end,terms/13/state,terms/13/district,terms/13/party,terms/13/url,terms/13/address,terms/13/phone,terms/13/fax,terms/13/contact_form,terms/13/office,terms/14/type,terms/14/start,terms/14/end,terms/14/state,terms/14/party,terms/14/district,terms/14/url,terms/14/address,terms/14/phone,terms/14/fax,terms/14/contact_form,terms/14/office,terms/14/rss_url,terms/15/type,terms/15/start,terms/15/end,terms/15/state,terms/15/party,terms/15/district,terms/15/url,terms/15/address,terms/15/phone,terms/15/fax,terms/15/contact_form,terms/15/office,terms/15/rss_url,id/fec/2,terms/16/type,terms/16/start,terms/16/end,terms/16/state,terms/16/district,terms/16/party,terms/17/type,terms/17/start,terms/17/end,terms/17/state,terms/17/district,terms/17/party,terms/18/type,terms/18/start,terms/18/end,terms/18/state,terms/18/district,terms/18/party,terms/19/type,terms/19/start,terms/19/end,terms/19/state,terms/19/district,terms/19/party,terms/19/url,terms/20/type,terms/20/start,terms/20/end,terms/20/state,terms/20/district,terms/20/party,terms/20/url,terms/21/type,terms/21/start,terms/21/end,terms/21/state,terms/21/district,terms/21/party,terms/21/url,terms/22/type,terms/22/start,terms/22/end,terms/22/state,terms/22/district,terms/22/party,terms/22/url,terms/23/type,terms/23/start,terms/23/end,terms/23/state,terms/23/district,terms/23/party,terms/23/url,terms/23/address,terms/23/phone,terms/23/fax,terms/23/contact_form,terms/23/office,terms/24/type,terms/24/start,terms/24/end,terms/24/state,terms/24/party,terms/24/district,terms/24/url,terms/24/address,terms/24/phone,terms/24/fax,terms/24/contact_form,terms/24/office,terms/24/rss_url,terms/25/type,terms/25/start,terms/25/end,terms/25/state,terms/25/party,terms/25/district,terms/25/url,terms/25/address,terms/25/phone,terms/25/fax,terms/25/contact_form,terms/25/office,terms/25/rss_url,terms/12/address,terms/12/phone,terms/12/fax,terms/12/contact_form,terms/12/office,terms/12/rss_url,terms/13/rss_url,terms/16/url,terms/16/address,terms/16/phone,terms/16/fax,terms/16/contact_form,terms/16/office,terms/16/rss_url,terms/17/url,terms/17/address,terms/17/phone,terms/17/fax,terms/17/contact_form,terms/17/office,terms/17/rss_url,terms/18/url,terms/18/address,terms/18/phone,terms/18/fax,terms/18/contact_form,terms/18/office,terms/19/address,terms/19/phone,terms/19/fax,terms/19/contact_form,terms/19/office,terms/19/rss_url,terms/20/class,terms/20/state_rank,terms/20/phone,terms/20/office,terms/20/address,terms/20/contact_form,terms/21/class,terms/21/state_rank,terms/21/phone,terms/21/office,terms/21/address,terms/21/contact_form,terms/20/fax,terms/21/fax,terms/21/rss_url,terms/22/address,terms/22/phone,terms/22/fax,terms/22/contact_form,terms/22/office,terms/22/rss_url,terms/0/party_affiliations/0/start,terms/0/party_affiliations/0/end,terms/0/party_affiliations/0/party,terms/0/party_affiliations/1/start,terms/0/party_affiliations/1/end,terms/0/party_affiliations/1/party,terms/3/caucus,terms/18/rss_url,terms/5/party_affiliations/0/start,terms/5/party_affiliations/0/end,terms/5/party_affiliations/0/party,terms/5/party_affiliations/1/start,terms/5/party_affiliations/1/end,terms/5/party_affiliations/1/party,terms/20/rss_url,family/4/name,family/4/relation,terms/0/caucus
B001250,01753,,400029,N00025292,50544,H2UT01094,,1003621,Rob Bishop,10399,Rob Bishop,150,20357,Q433857,kg:/m/02tn41,Rob,Bishop,Rob Bishop,1951-07-13,M,Latter Day Saints,rep,2003-01-07,2005-01-03,UT,1,Republican,rep,2005-01-04,2007-01-03,UT,1,Republican,rep,2007-01-04,2009-01-03,UT,1,Republican,rep,2009-01-06,2011-01-03,UT,1,Republican,rep,2011-01-05,2013-01-03,UT,1,Republican,rep,2013-01-03,2015-01-03,UT,1,Republican,http://robbishop.house.gov,rep,2015-01-06,2017-01-03,UT,1,Republican,http://robbishop.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/robbishop,,http://www.house.gov/robbishop,,,,,,,http://www.house.gov/robbishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123 Cannon HOB; Washington DC 20515-4401,202-225-0453,202-225-5857,https://robbishop.house.gov/contact/contactform.htm,123 Cannon House Office Building,,,,,,http://www.house.gov/robbishop,,,,,,,,,,,,,,http://www.house.gov/robbishop,123 Cannon HOB; Washington DC 20515-4401,202-225-0453,202-225-5857,http://robbishop.house.gov/ZipAuth.aspx,123 Cannon House Office Building,,,123 Cannon HOB; Washington DC 20515-4401,202-225-0453,202-225-5857,https://robbishop.house.gov/contact/contactform.htm,123 Cannon House Office Building,,http://robbishop.house.gov/news/rss.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://robbishop.house.gov/news/rss.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B000490,00091,,400030,N00002674,26817,H2GA02031,,26194,Sanford Bishop,7697,,148,29339,Q983428,kg:/m/02554k,Sanford,Bishop,Sanford D. Bishop Jr.,1947-02-04,M,Baptist,rep,1993-01-05,1995-01-03,GA,2,Democrat,rep,1995-01-04,1997-01-03,GA,2,Democrat,rep,1997-01-07,1999-01-03,GA,2,Democrat,rep,1999-01-06,2001-01-03,GA,2,Democrat,rep,2001-01-03,2003-01-03,GA,2,Democrat,rep,2003-01-07,2005-01-03,GA,2,Democrat,http://www.house.gov/bishop,rep,2005-01-04,2007-01-03,GA,2,Democrat,http://www.house.gov/bishop,rep,2007-01-04,2009-01-03,GA,,Democrat,http://bishop.house.gov,,,,,,rep,2009-01-06,2011-01-03,GA,Democrat,,http://bishop.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,D.,2,2,rep,2011-01-05,2013-01-03,GA,2,Democrat,http://bishop.house.gov,rep,2013-01-03,2015-01-03,GA,,Democrat,http://bishop.house.gov,2429 Rayburn HOB; Washington DC 20515-1002,202-225-3631,202-225-2203,http://bishop.house.gov/contact,2429 Rayburn House Office Building,rep,2015-01-06,2017-01-03,GA,Democrat,,http://bishop.house.gov,2407 Rayburn HOB; Washington DC 20515-1002,202-225-3631,202-225-2203,http://bishop.house.gov/contact,2407 Rayburn House Office Building,,http://bishop.house.gov/rss.xml,,,,,,,,,,,Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429 Rayburn HOB; Washington DC 20515-1002,202-225-3631,202-225-2203,http://bishop.house.gov/display.cfm?section_id=13,2429 Rayburn House Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://bishop.house.gov/rss.xml,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001273,02063,,412478,N00031539,25292,H0TN06257,,9268964,Diane Black,10436,,1483,21180,Q515935,kg:/m/0cyvxl,Diane,Black,Diane Black,1951-01-16,F,,rep,2011-01-05,2013-01-03,TN,6,Republican,rep,2013-01-03,2015-01-03,TN,6,Republican,rep,2015-01-06,2017-01-03,TN,6,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://black.house.gov,,http://black.house.gov,1131 Longworth HOB; Washington DC 20515-4206,202-225-4231,202- 225-6887,https://black.house.gov/contact-me/email-me,1131 Longworth House Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://black.house.gov/,1531 Longworth HOB; Washington DC 20515-4206,202-225-4231,202- 225-6887,,1531 Longworth House Office Building,1531 Longworth HOB; Washington DC 20515-4206,202-225-4231,202- 225-6887,https://black.house.gov/contact-me/email-me,1531 Longworth House Office Building,,http://black.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://black.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001243,01748,,400032,N00003105,25186,H2TN06030,,31226,Marsha Blackburn,10385,Marsha Blackburn,151,20351,Q458971,kg:/m/01fnkt,Marsha,Blackburn,Marsha Blackburn,1952-06-06,F,Presbyterian,rep,2003-01-07,2005-01-03,TN,7,Republican,rep,2005-01-04,2007-01-03,TN,7,Republican,rep,2007-01-04,2009-01-03,TN,7,Republican,rep,2009-01-06,2011-01-03,TN,7,Republican,rep,2011-01-05,2013-01-03,TN,7,Republican,rep,2013-01-03,2015-01-03,TN,7,Republican,http://blackburn.house.gov,rep,2015-01-06,2017-01-03,TN,7,Republican,http://blackburn.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/blackburn,,http://www.house.gov/blackburn,,,,,,,http://www.house.gov/blackburn,,,,,,,,W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2266 Rayburn HOB; Washington DC 20515-4207,202-225-2811,202-225-3004,https://blackburn.house.gov/contactform/email.htm,2266 Rayburn House Office Building,,,,,,http://www.house.gov/blackburn,,,,,,,,,,,,,,http://www.house.gov/blackburn,217 Cannon HOB; Washington DC 20515-4207,202-225-2811,202-225-3004,http://blackburn.house.gov/contactform/,217 Cannon House Office Building,,,217 Cannon HOB; Washington DC 20515-4207,202-225-2811,202-225-3004,https://blackburn.house.gov/contactform/email.htm,217 Cannon House Office Building,,http://blackburn.house.gov/news/rss.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://blackburn.house.gov/news/rss.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B000574,00099,,400033,N00007727,367,H6OR03064,,43809,Earl Blumenauer,9518,Earl Blumenauer,152,29588,Q748066,kg:/m/033tw8,Earl,Blumenauer,Earl Blumenauer,1948-08-16,M,,rep,1996-05-21,1997-01-03,OR,3,Democrat,rep,1997-01-07,1999-01-03,OR,3,Democrat,rep,1999-01-06,2001-01-03,OR,3,Democrat,rep,2001-01-03,2003-01-03,OR,3,Democrat,rep,2003-01-07,2005-01-03,OR,3,Democrat,rep,2005-01-04,2007-01-03,OR,3,Democrat,http://www.house.gov/blumenauer,rep,2007-01-04,2009-01-03,OR,3,Democrat,http://blumenauer.house.gov,rep,2009-01-06,2011-01-03,OR,,Democrat,http://blumenauer.house.gov,,,,,,rep,2011-01-05,2013-01-03,OR,Democrat,,http://blumenauer.house.gov,1502 Longworth HOB; Washington DC 20515-3703,202-225-4811,202-225-8941,http://blumenauer.house.gov/index.php?option=com_email_form&amp;Itemid=206,1502 Longworth House Office Building,,,,,,,,,,,,,,,,,,,,,,3,3,rep,2013-01-03,2015-01-03,OR,3,Democrat,http://blumenauer.house.gov,rep,2015-01-06,2017-01-03,OR,,Democrat,http://blumenauer.house.gov,1111 Longworth HOB; Washington DC 20515-3703,202-225-4811,202-225-8941,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,1111 Longworth House Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/blumenauer,,,,,,,,,,,,,,,,,1111 Longworth HOB; Washington DC 20515-3703,202-225-4811,202-225-8941,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,1111 Longworth House Office Building,,http://blumenauer.house.gov/index.php?format=feed&amp;type=rss,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://blumenauer.house.gov/index.php?format=feed&amp;type=rss,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001277,02076,S341,412490,N00031685,1568,S0CT00177,,21799,Richard Blumenthal,,Richard Blumenthal,1495,41101,Q2023708,kg:/m/03tg8m,Richard,Blumenthal,Richard Blumenthal,1946-02-13,M,,sen,2011-01-05,2017-01-03,CT,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,202-224-9673,https://www.blumenthal.senate.gov/contact/,706 Hart Senate Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senior,http://www.blumenthal.senate.gov/rss/feeds/?type=all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B000575,01464,S342,400034,N00005195,418,H6MO07128,S0MO00183,45465,Roy Blunt,9520,Roy Blunt,153,29735,Q1525924,kg:/m/034fn4,Roy,Blunt,Roy Blunt,1950-01-10,M,Baptist,rep,1997-01-07,1999-01-03,MO,7,Republican,rep,1999-01-06,2001-01-03,MO,7,Republican,rep,2001-01-03,2003-01-03,MO,7,Republican,rep,2003-01-07,2005-01-03,MO,7,Republican,rep,2005-01-04,2007-01-03,MO,7,Republican,rep,2007-01-04,2009-01-03,MO,7,Republican,http://www.house.gov/blunt,rep,2009-01-06,2011-01-03,MO,7,Republican,http://blunt.house.gov/,sen,2011-01-05,2017-01-03,MO,3,Republican,http://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510,202-224-5721,202-224-8149,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,260 Russell Senate Office Building,,,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/blunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,junior,http://www.blunt.senate.gov/public/?a=rss.feed,,,,,,,,,,,,,,,,,,http://www.house.gov/blunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001236,01687,S343,400040,N00013873,27958,H2AR03176,S0AR00150,92069,John Boozman,10372,John Boozman,159,20101,Q1344707,kg:/m/024s3v,John,Boozman,John Boozman,1950-12-10,M,,rep,2001-11-29,2003-01-03,AR,3,Republican,rep,2003-01-07,2005-01-03,AR,3,Republican,rep,2005-01-04,2007-01-03,AR,3,Republican,rep,2007-01-04,2009-01-03,AR,3,Republican,rep,2009-01-06,2011-01-03,AR,3,Republican,sen,2011-01-05,2017-01-03,AR,,Republican,http://www.boozman.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/boozman,,http://www.house.gov/boozman,,,,,,,http://www.house.gov/boozman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.boozman.house.gov/,,,,,,,,141 Hart Senate Office Building Washington DC 20510,202-224-4843,202-228-1371,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,141 Hart Senate Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senior,http://www.boozman.senate.gov/public/index.cfm/rss/feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001245,01723,,400041,N00024866,1751,H2GU00033,,1003568,Madeleine Bordallo,10389,,160,,Q292988,kg:/m/01s_xp,Madeleine,Bordallo,Madeleine Z. Bordallo,1933-05-31,F,Catholic,rep,2003-01-07,2005-01-03,GU,0,Democrat,rep,2005-01-04,2007-01-03,GU,0,Democrat,rep,2007-01-04,2009-01-03,GU,0,Democrat,rep,2009-01-06,2011-01-03,GU,0,Democrat,rep,2011-01-05,2013-01-03,GU,0,Democrat,rep,2013-01-03,2015-01-03,GU,0,Democrat,http://bordallo.house.gov,rep,2015-01-06,2017-01-03,GU,0,Democrat,http://bordallo.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/bordallo,,http://www.house.gov/bordallo,,,,,,,http://www.house.gov/bordallo,,,,,,,,Z.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2441 Rayburn HOB; Washington DC 20515-5301,202-225-1188,202-226-0341,https://bordallo.house.gov/contact-me,2441 Rayburn House Office Building,,,,,,http://www.house.gov/bordallo,,,,,,,,,,,,,,http://www.house.gov/bordallo,2441 Rayburn HOB; Washington DC 20515-5301,202-225-1188,202-226-0341,http://www.house.gov/bordallo/IMA/issue.htm,2441 Rayburn House Office Building,,,2441 Rayburn HOB; Washington DC 20515-5301,202-225-1188,202-226-0341,https://bordallo.house.gov/contact-me,2441 Rayburn House Office Building,,http://bordallo.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://bordallo.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001255,01787,,400636,N00026595,35514,H4LA07029,,1013047,Charles Boustany,10409,Charles Boustany Jr.,642,20514,Q972735,kg:/m/04wdx3,Charles,Boustany,Charles W. Boustany Jr.,1956-02-21,M,,rep,2005-01-04,2007-01-03,LA,7,Republican,rep,2007-01-04,2009-01-03,LA,7,Republican,rep,2009-01-06,2011-01-03,LA,7,Republican,rep,2011-01-05,2013-01-03,LA,7,Republican,rep,2013-01-03,2015-01-03,LA,3,Republican,rep,2015-01-06,2017-01-03,LA,3,Republican,http://boustany.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/boustany,,http://www.house.gov/boustany,,,,,,,http://www.house.gov/boustany,1431 Longworth HOB; Washington DC 20515-1807,202-225-2031,202-225-5724,http://boustany.house.gov/ContactCharles.asp,1431 Longworth House Office Building,,,W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jr.,,,,,,,,,,,,,,,,http://boustany.house.gov,1431 Longworth HOB; Washington DC 20515-1803,202-225-2031,202-225-5724,https://boustanyforms.house.gov/contact-me/,1431 Longworth House Office Building,,http://www.house.gov/common/rss/index.cfm?rss=82,1431 Longworth HOB; Washington DC 20515-1803,202-225-2031,202-225-5724,https://boustanyforms.house.gov/contact-me/,1431 Longworth House Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/common/rss/index.cfm?rss=82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B000711,00116,S223,300011,N00006692,53274,S2CA00286,H2CA06028,2470,Barbara Boxer,9704,Barbara Boxer,539,15011,Q237560,kg:/m/01c1n5,Barbara,Boxer,Barbara Boxer,1940-11-11,F,Jewish,rep,1983-01-03,1985-01-03,CA,6,Democrat,rep,1985-01-03,1987-01-03,CA,6,Democrat,rep,1987-01-06,1989-01-03,CA,6,Democrat,rep,1989-01-03,1991-01-03,CA,6,Democrat,rep,1991-01-03,1993-01-03,CA,6,Democrat,sen,1993-01-05,1999-01-03,CA,,Democrat,,sen,1999-01-06,2005-01-03,CA,,Democrat,http://boxer.senate.gov/,sen,2005-01-04,2011-01-03,CA,3,Democrat,http://boxer.senate.gov,,,,,,sen,2011-01-05,2017-01-03,CA,Democrat,3,https://www.boxer.senate.gov,112 Hart Senate Office Building Washington DC 20510,202-224-3553,202-224-0454,https://www.boxer.senate.gov/contact/shareyourviews.html,112 Hart Senate Office Building,junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P80003247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
