,name/official_full,bio/birthday,bio/gender,address,contact_form,url,phone,party,dateInOffice,endOfTerm,yearsInCongress,state,district,office,position
30,Pat Roberts,4/20/36,M,109 Hart Senate Office Building Washington DC 20510,http://www.roberts.senate.gov/public/index.cfm?p=EmailPat,http://www.roberts.senate.gov,202-224-4774,Republican,1/5/81,1/3/21,40.0,KS,,109 Hart Senate Office Building,sen
31,Jeff Sessions,12/24/46,M,326 Russell Senate Office Building Washington DC 20510,http://www.sessions.senate.gov/public/index.cfm/contact-jeff,http://www.sessions.senate.gov,202-224-4124,Republican,1/7/97,1/3/21,24.0,AL,,326 Russell Senate Office Building,sen
32,Jeanne Shaheen,1/28/47,F,506 Hart Senate Office Building Washington DC 20510,http://www.shaheen.senate.gov/contact/,http://www.shaheen.senate.gov,202-224-2841,Democrat,1/6/09,1/3/21,12.0,NH,,506 Hart Senate Office Building,sen
33,Tom Udall,5/18/48,M,531 Hart Senate Office Building Washington DC 20510,http://www.tomudall.senate.gov/?p=contact,http://www.tomudall.senate.gov,202-224-6621,Democrat,1/6/99,1/3/21,22.0,NM,,531 Hart Senate Office Building,sen
34,Mark R. Warner,12/15/54,M,475 Russell Senate Office Building Washington DC 20510,http://www.warner.senate.gov/public//index.cfm?p=ContactPage#form_f9db6196-2dc7-4cda-8add-f8435a71318a,http://www.warner.senate.gov,202-224-2023,Democrat,1/6/09,1/3/21,12.0,VA,,475 Russell Senate Office Building,sen
35,Kirsten E. Gillibrand,12/9/66,F,478 Russell Senate Office Building Washington DC 20510,http://www.gillibrand.senate.gov/contact/,https://www.gillibrand.senate.gov,202-224-4451,Democrat,1/4/07,1/3/19,16.0,NY,,478 Russell Senate Office Building,sen
36,Al Franken,5/21/51,M,309 Hart Senate Office Building Washington DC 20510,http://www.franken.senate.gov/?p=email_al,https://www.franken.senate.gov,202-224-5641,Democrat,7/7/09,1/3/21,12.0,MN,,309 Hart Senate Office Building,sen
37,Christopher A. Coons,9/9/63,M,127A Russell Senate Office Building Washington DC 20510,http://www.coons.senate.gov/contact/,https://www.coons.senate.gov,202-224-5042,Democrat,11/15/10,1/3/21,12.0,DE,,127a Russell Senate Office Building,sen
38,"Joe Manchin, III",8/24/47,M,306 Hart Senate Office Building Washington DC 20510,http://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov,202-224-3954,Democrat,11/15/10,1/3/19,12.0,WV,,306 Hart Senate Office Building,sen
39,Robert B. Aderholt,7/22/65,M,235 Cannon HOB; Washington DC 20515-0104,http://aderholt.house.gov/email-me2/,https://aderholt.house.gov,202-225-4876,Republican,1/7/97,1/3/17,20.0,AL,5.0,235 Cannon House Office Building,rep
40,Justin Amash,4/18/80,M,114 Cannon HOB; Washington DC 20515-2203,https://amash.house.gov/contact-me/email-me,http://amash.house.gov,202-225-3831,Republican,1/5/11,1/3/17,6.0,MI,4.0,114 Cannon House Office Building,rep
41,Kelly Ayotte,6/27/68,F,144 Russell Senate Office Building Washington DC 20510,http://www.ayotte.senate.gov/?p=contact,http://www.ayotte.senate.gov,202-224-3324,Republican,1/5/11,1/3/17,6.0,NH,,144 Russell Senate Office Building,sen
42,Tammy Baldwin,2/11/62,F,717 Hart Washington DC 20510,http://www.baldwin.senate.gov/contact,https://www.baldwin.senate.gov,202-224-5653,Democrat,1/6/99,1/3/19,20.0,WI,,717 Hart,sen
43,Lou Barletta,1/28/56,M,115 Cannon HOB; Washington DC 20515-3811,https://barletta.house.gov/contact/email-me,http://barletta.house.gov,202-225-6511,Republican,1/5/11,1/3/17,6.0,PA,12.0,115 Cannon House Office Building,rep
44,Joe Barton,9/15/49,M,2107 Rayburn HOB; Washington DC 20515-4306,https://joebarton.house.gov/contact1/,http://joebarton.house.gov,202-225-2002,Republican,1/3/85,1/3/17,32.0,TX,7.0,2107 Rayburn House Office Building,rep
45,Karen Bass,10/3/53,F,408 Cannon HOB; Washington DC 20515-0537,https://bass.house.gov/contact-me/email-me,http://bass.house.gov,202-225-7084,Democrat,1/5/11,1/3/17,6.0,CA,38.0,408 Cannon House Office Building,rep
46,Xavier Becerra,1/26/58,M,1226 Longworth HOB; Washington DC 20515-0534,http://becerraforms.house.gov/forms/writeyourrep/,http://becerra.house.gov,202-225-6235,Democrat,1/5/93,1/3/17,24.0,CA,35.0,1226 Longworth House Office Building,rep
47,Dan Benishek,4/20/52,M,514 Cannon HOB; Washington DC 20515-2201,https://benishek.house.gov/contact-me/email-me,http://benishek.house.gov,202-225-4735,Republican,1/5/11,1/3/17,6.0,MI,2.0,514 Cannon House Office Building,rep
48,Michael F. Bennet,11/28/64,M,261 Russell Senate Office Building Washington DC 20510,http://www.bennet.senate.gov/contact/email,https://www.bennet.senate.gov,202-224-5852,Democrat,1/22/09,1/3/17,12.0,CO,,261 Russell Senate Office Building,sen
49,Gus M. Bilirakis,2/8/63,M,2112 Rayburn HOB; Washington DC 20515-0912,https://bilirakis.house.gov/email-congressman-bilirakis/,https://bilirakis.house.gov,202-225-5755,Republican,1/4/07,1/3/17,10.0,FL,13.0,2112 Rayburn House Office Building,rep
50,Rob Bishop,7/13/51,M,123 Cannon HOB; Washington DC 20515-4401,https://robbishop.house.gov/contact/contactform.htm,http://robbishop.house.gov,202-225-0453,Republican,1/7/03,1/3/17,14.0,UT,2.0,123 Cannon House Office Building,rep
51,Sanford D. Bishop Jr.,2/4/47,M,2407 Rayburn HOB; Washington DC 20515-1002,http://bishop.house.gov/contact,http://bishop.house.gov,202-225-3631,Democrat,1/5/93,1/3/17,24.0,GA,3.0,2407 Rayburn House Office Building,rep
52,Diane Black,1/16/51,F,1131 Longworth HOB; Washington DC 20515-4206,https://black.house.gov/contact-me/email-me,http://black.house.gov,202-225-4231,Republican,1/5/11,1/3/17,6.0,TN,7.0,1131 Longworth House Office Building,rep
53,Marsha Blackburn,6/6/52,F,2266 Rayburn HOB; Washington DC 20515-4207,https://blackburn.house.gov/contactform/email.htm,http://blackburn.house.gov,202-225-2811,Republican,1/7/03,1/3/17,14.0,TN,8.0,2266 Rayburn House Office Building,rep
54,Earl Blumenauer,8/16/48,M,1111 Longworth HOB; Washington DC 20515-3703,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,http://blumenauer.house.gov,202-225-4811,Democrat,5/21/96,1/3/17,22.0,OR,4.0,1111 Longworth House Office Building,rep
55,Richard Blumenthal,2/13/46,M,706 Hart Senate Office Building Washington DC 20510,https://www.blumenthal.senate.gov/contact/,https://www.blumenthal.senate.gov,202-224-2823,Democrat,1/5/11,1/3/17,6.0,CT,,706 Hart Senate Office Building,sen
56,Roy Blunt,1/10/50,M,260 Russell Senate Office Building Washington DC 20510,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,http://www.blunt.senate.gov,202-224-5721,Republican,1/7/97,1/3/17,20.0,MO,,260 Russell Senate Office Building,sen
57,John Boozman,12/10/50,M,141 Hart Senate Office Building Washington DC 20510,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,http://www.boozman.senate.gov,202-224-4843,Republican,11/29/01,1/3/17,16.0,AR,,141 Hart Senate Office Building,sen
58,Madeleine Z. Bordallo,5/31/33,F,2441 Rayburn HOB; Washington DC 20515-5301,https://bordallo.house.gov/contact-me,http://bordallo.house.gov,202-225-1188,Democrat,1/7/03,1/3/17,14.0,GU,1.0,2441 Rayburn House Office Building,rep
59,Charles W. Boustany Jr.,2/21/56,M,1431 Longworth HOB; Washington DC 20515-1803,https://boustanyforms.house.gov/contact-me/,http://boustany.house.gov,202-225-2031,Republican,1/4/05,1/3/17,12.0,LA,4.0,1431 Longworth House Office Building,rep
60,Barbara Boxer,11/11/40,F,112 Hart Senate Office Building Washington DC 20510,https://www.boxer.senate.gov/contact/shareyourviews.html,https://www.boxer.senate.gov,202-224-3553,Democrat,1/3/83,1/3/17,34.0,CA,,112 Hart Senate Office Building,sen
61,Kevin Brady,4/11/55,M,301 Cannon HOB; Washington DC 20515-4308,https://kevinbrady.house.gov/contact-form,http://kevinbrady.house.gov,202-225-4901,Republican,1/7/97,1/3/17,20.0,TX,9.0,301 Cannon House Office Building,rep
62,Robert A. Brady,4/7/45,M,102 Cannon HOB; Washington DC 20515-3801,https://brady.house.gov/contact-me/email-me,http://brady.house.gov,202-225-4731,Democrat,5/19/98,1/3/17,20.0,PA,2.0,102 Cannon House Office Building,rep
63,Mo Brooks,4/29/54,M,1230 Longworth HOB; Washington DC 20515-0105,https://brooks.house.gov/email-me,http://brooks.house.gov,202-225-4801,Republican,1/5/11,1/3/17,6.0,AL,6.0,1230 Longworth House Office Building,rep
64,Corrine Brown,11/11/46,F,2111 Rayburn HOB; Washington DC 20515-0905,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml,https://corrinebrown.house.gov,202-225-0123,Democrat,1/5/93,1/3/17,24.0,FL,6.0,2111 Rayburn House Office Building,rep
65,Vern Buchanan,5/8/51,M,2104 Rayburn HOB; Washington DC 20515-0916,https://buchanan.house.gov/email-me,https://buchanan.house.gov,202-225-5015,Republican,1/4/07,1/3/17,10.0,FL,17.0,2104 Rayburn House Office Building,rep
66,Larry Bucshon,5/31/62,M,1005 Longworth HOB; Washington DC 20515-1408,https://bucshon.house.gov/contact-me/email-me,http://bucshon.house.gov,202-225-4636,Republican,1/5/11,1/3/17,6.0,IN,9.0,1005 Longworth House Office Building,rep
67,Michael C. Burgess,12/23/50,M,2336 Rayburn HOB; Washington DC 20515-4326,http://burgess.house.gov/contact/356345.htm,http://burgess.house.gov,202-225-7772,Republican,1/7/03,1/3/17,14.0,TX,27.0,2336 Rayburn House Office Building,rep
68,Richard Burr,11/30/55,M,217 Russell Senate Office Building Washington DC 20510,http://www.burr.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm,http://www.burr.senate.gov,202-224-3154,Republican,1/4/95,1/3/17,22.0,NC,,217 Russell Senate Office Building,sen
69,G. K. Butterfield,4/27/47,M,2305 Rayburn HOB; Washington DC 20515-3301,https://butterfield.house.gov/email-congressman-butterfield,http://butterfield.house.gov,202-225-3101,Democrat,7/21/04,1/3/17,14.0,NC,2.0,2305 Rayburn House Office Building,rep
70,Ken Calvert,6/8/53,M,2205 Rayburn HOB; Washington DC 20515-0542,https://calvert.house.gov/contactform/,http://calvert.house.gov,202-225-1986,Republican,1/5/93,1/3/17,24.0,CA,43.0,2205 Rayburn House Office Building,rep
71,Shelley Moore Capito,11/26/53,F,172 Russell Senate Office Building Washington DC 20510,https://capitoforms.house.gov/email-shelley/,https://www.capito.senate.gov,202-224-6472,Republican,1/3/01,1/3/21,20.0,WV,,172 Russell Senate Office Building,sen
72,Lois Capps,1/10/38,F,2231 Rayburn HOB; Washington DC 20515-0524,https://capps.house.gov/contact-me/email-me,http://capps.house.gov,202-225-3601,Democrat,3/10/98,1/3/17,20.0,CA,25.0,2231 Rayburn House Office Building,rep
73,Michael E. Capuano,1/9/52,M,1414 Longworth HOB; Washington DC 20515-2107,http://www.house.gov/capuano/contact/email.shtml,http://capuano.house.gov,202-225-5111,Democrat,1/6/99,1/3/17,18.0,MA,8.0,1414 Longworth House Office Building,rep
74,John C. Carney Jr.,5/20/56,M,1406 Longworth HOB; Washington DC 20515-0800,https://forms.house.gov/carney/webforms/email-me.shtml,http://johncarney.house.gov,202-225-4165,Democrat,1/5/11,1/3/17,6.0,DE,1.0,1406 Longworth House Office Building,rep
75,AndrÃƒÂ© Carson,10/16/74,M,2453 Rayburn HOB; Washington DC 20515-1407,https://carson.house.gov/contact/email-me,http://carson.house.gov,202-225-4011,Democrat,3/13/08,1/3/17,10.0,IN,8.0,2453 Rayburn House Office Building,rep
76,John R. Carter,11/6/41,M,2110 Rayburn HOB; Washington DC 20515-4331,https://carter.house.gov/email-john2,http://carter.house.gov,202-225-3864,Republican,1/7/03,1/3/17,14.0,TX,32.0,2110 Rayburn House Office Building,rep
77,Bill Cassidy,9/28/57,M,703 Hart Senate Office Building Washington DC 20510,https://cassidy.house.gov/contact/email-me,http://www.cassidy.senate.gov,202-224-5824,Republican,1/6/09,1/3/21,12.0,LA,,703 Hart Senate Office Building,sen
78,Kathy Castor,8/20/66,F,205 Cannon HOB; Washington DC 20515-0914,https://castor.house.gov/contact/contactform.htm,http://castor.house.gov,202-225-3376,Democrat,1/4/07,1/3/17,10.0,FL,15.0,205 Cannon House Office Building,rep
79,Steve Chabot,1/22/53,M,2371 Rayburn HOB; Washington DC 20515-3501,https://chabot.house.gov/forms/writeyourrep/?zip5=45202&zip4=3003,http://chabot.house.gov,202-225-2216,Republican,1/4/95,1/3/17,20.0,OH,2.0,2371 Rayburn House Office Building,rep
80,Jason Chaffetz,3/26/67,M,2236 Rayburn HOB; Washington DC 20515-4403,https://chaffetz.house.gov/contact-me/email-me,http://chaffetz.house.gov,202-225-7751,Republican,1/6/09,1/3/17,8.0,UT,4.0,2236 Rayburn House Office Building,rep
81,Judy Chu,7/7/53,F,2423 Rayburn HOB; Washington DC 20515-0527,http://chu.house.gov/connect-with-me/email-judy,http://chu.house.gov,202-225-5464,Democrat,7/16/09,1/3/17,8.0,CA,28.0,2423 Rayburn House Office Building,rep
82,David N. Cicilline,7/15/61,M,2244 Rayburn HOB; Washington DC 20515-3901,https://cicilline.house.gov/contact-me/email-me,http://cicilline.house.gov,202-225-4911,Democrat,1/5/11,1/3/17,6.0,RI,2.0,2244 Rayburn House Office Building,rep
83,Yvette D. Clarke,11/21/64,F,2351 Rayburn HOB; Washington DC 20515-3209,https://clarke.house.gov/contact/email-me,http://clarke.house.gov,202-225-6231,Democrat,1/4/07,1/3/17,10.0,NY,10.0,2351 Rayburn House Office Building,rep
84,Wm. Lacy Clay,7/27/56,M,2428 Rayburn HOB; Washington DC 20515-2501,http://lacyclay.house.gov/contact-form/,http://lacyclay.house.gov,202-225-2406,Democrat,1/3/01,1/3/17,16.0,MO,2.0,2428 Rayburn House Office Building,rep
85,Emanuel Cleaver,10/26/44,M,2335 Rayburn HOB; Washington DC 20515-2505,https://cleaver.house.gov/contact/email-me,http://cleaver.house.gov,202-225-4535,Democrat,1/4/05,1/3/17,12.0,MO,6.0,2335 Rayburn House Office Building,rep
86,James E. Clyburn,7/21/40,M,242 Cannon HOB; Washington DC 20515-4006,https://clyburn.house.gov/contact-me/email-me,http://clyburn.house.gov,202-225-3315,Democrat,1/5/93,1/3/17,24.0,SC,7.0,242 Cannon House Office Building,rep
87,Daniel Coats,5/16/43,M,493 Russell Senate Office Building Washington DC 20510,http://www.coats.senate.gov/contact/,http://www.coats.senate.gov,202-224-5623,Republican,1/5/81,1/3/17,26.0,IN,,493 Russell Senate Office Building,sen
88,Mike Coffman,3/19/55,M,2443 Rayburn HOB; Washington DC 20515-0606,https://coffman.house.gov/contact/email-me,http://coffman.house.gov,202-225-7882,Republican,1/6/09,1/3/17,8.0,CO,7.0,2443 Rayburn House Office Building,rep
89,Steve Cohen,5/24/49,M,2404 Rayburn HOB; Washington DC 20515-4209,https://cohen.house.gov/contact-me/email-me,http://cohen.house.gov,202-225-3265,Democrat,1/4/07,1/3/17,10.0,TN,10.0,2404 Rayburn House Office Building,rep
90,Tom Cole,4/28/49,M,2467 Rayburn HOB; Washington DC 20515-3604,https://coleforms.house.gov/contact/default.aspx,http://cole.house.gov,202-225-6165,Republican,1/7/03,1/3/17,14.0,OK,5.0,2467 Rayburn House Office Building,rep
91,K. Michael Conaway,6/11/48,M,2430 Rayburn HOB; Washington DC 20515-4311,https://conaway.house.gov/forms/writeyourrep/default.aspx,http://conaway.house.gov,202-225-3605,Republican,1/4/05,1/3/17,12.0,TX,12.0,2430 Rayburn House Office Building,rep
92,Gerald E. Connolly,3/30/50,M,2238 Rayburn HOB; Washington DC 20515-4611,https://forms.house.gov/connolly/contact-form.shtml,http://connolly.house.gov,202-225-1492,Democrat,1/6/09,1/3/17,8.0,VA,12.0,2238 Rayburn House Office Building,rep
93,John Conyers Jr.,5/16/29,M,2426 Rayburn HOB; Washington DC 20515-2213,https://conyers.house.gov/index.cfm/online-contact-form,https://conyers.house.gov,202-225-5126,Democrat,1/4/65,1/3/17,52.0,MI,14.0,2426 Rayburn House Office Building,rep
94,Jim Cooper,6/19/54,M,1536 Longworth HOB; Washington DC 20515-4205,https://cooper.house.gov/contact/email-me,http://cooper.house.gov,202-225-4311,Democrat,1/3/83,1/3/17,26.0,TN,6.0,1536 Longworth House Office Building,rep
95,Jim Costa,4/13/52,M,1314 Longworth HOB; Washington DC 20515-0516,http://www.house.gov/formcosta/issue.htm,https://costa.house.gov,202-225-3341,Democrat,1/4/05,1/3/17,12.0,CA,17.0,1314 Longworth House Office Building,rep
96,Joe Courtney,4/6/53,M,2348 Rayburn HOB; Washington DC 20515-0702,https://courtney.house.gov/email-joe1,http://courtney.house.gov,202-225-2076,Democrat,1/4/07,1/3/17,10.0,CT,3.0,2348 Rayburn House Office Building,rep
97,Mike Crapo,5/20/51,M,239 Dirksen Senate Office Building Washington DC 20510,http://www.crapo.senate.gov/contact/email.cfm,http://www.crapo.senate.gov,202-224-6142,Republican,1/5/93,1/3/17,24.0,ID,,239 Dirksen Senate Office Building,sen
98,"Eric A. ""Rick"" Crawford",1/22/66,M,1711 Longworth HOB; Washington DC 20515-0401,http://crawford.house.gov/contact/,http://crawford.house.gov,202-225-4076,Republican,1/5/11,1/3/17,6.0,AR,2.0,1711 Longworth House Office Building,rep
99,Ander Crenshaw,9/1/44,M,2161 Rayburn HOB; Washington DC 20515-0904,https://forms.house.gov/write/crenshaw/email-me.shtml,https://crenshaw.house.gov,202-225-2501,Republican,1/3/01,1/3/17,16.0,FL,5.0,2161 Rayburn House Office Building,rep
100,Joseph Crowley,3/16/62,M,1436 Longworth HOB; Washington DC 20515-3214,https://crowley.house.gov/contact-me/email-me,http://crowley.house.gov,202-225-3965,Democrat,1/6/99,1/3/17,18.0,NY,15.0,1436 Longworth House Office Building,rep
101,Henry Cuellar,9/19/55,M,2209 Rayburn HOB; Washington DC 20515-4328,https://cuellar.house.gov/forms/writeyourrep/default.aspx,http://cuellar.house.gov,202-225-1640,Democrat,1/4/05,1/3/17,12.0,TX,29.0,2209 Rayburn House Office Building,rep
102,John Abney Culberson,8/24/56,M,2372 Rayburn HOB; Washington DC 20515-4307,https://culbersonforms.house.gov/forms/writeyourrep/default.aspx,http://culberson.house.gov,202-225-2571,Republican,1/3/01,1/3/17,16.0,TX,8.0,2372 Rayburn House Office Building,rep
103,Elijah E. Cummings,1/18/51,M,2230 Rayburn HOB; Washington DC 20515-2007,https://cummings.house.gov/contact-me/email-me,http://cummings.house.gov,202-225-4741,Democrat,4/16/96,1/3/17,22.0,MD,8.0,2230 Rayburn House Office Building,rep
104,Danny K. Davis,9/6/41,M,2159 Rayburn HOB; Washington DC 20515-1307,https://davis.house.gov/email-me,http://davis.house.gov,202-225-5006,Democrat,1/7/97,1/3/17,20.0,IL,8.0,2159 Rayburn House Office Building,rep
105,Susan A. Davis,4/13/44,F,1214 Longworth HOB; Washington DC 20515-0553,https://susandavisforms.house.gov/forms/writeyourrep/,http://susandavis.house.gov,202-225-2040,Democrat,1/3/01,1/3/17,16.0,CA,54.0,1214 Longworth House Office Building,rep
106,Peter A. DeFazio,5/27/47,M,2134 Rayburn HOB; Washington DC 20515-3704,https://defazio.house.gov/contact/email-me,http://defazio.house.gov,202-225-6416,Democrat,1/6/87,1/3/17,30.0,OR,5.0,2134 Rayburn House Office Building,rep
107,Diana DeGette,7/29/57,F,2368 Rayburn HOB; Washington DC 20515-0601,https://degette.house.gov/contact/send-me-an-email/email-me,http://degette.house.gov,202-225-4431,Democrat,1/7/97,1/3/17,20.0,CO,2.0,2368 Rayburn House Office Building,rep
108,Rosa L. DeLauro,3/2/43,F,2413 Rayburn HOB; Washington DC 20515-0703,https://forms.house.gov/delauro/webforms/contact_form_email.shtml,http://delauro.house.gov,202-225-3661,Democrat,1/3/91,1/3/17,26.0,CT,4.0,2413 Rayburn House Office Building,rep
