Name,BirthDate,CurrentDate,CurrentAge,Gender,Address,Contact_URL,Url,Phone,Party,DateInOffice,EndOfTerm,YearsInOffice,AgeAtTakingOfficeYear,StateAbb,State,District,OfficeAddress,Position,YearNextElection,BelieveClimateChange,Quote,QuoteSource,QuoteURL
Austin Scott,10-Dec-69,15-Dec-16,47,M,2417 Rayburn HOB; Washington DC 20515-1008,https://austinscott.house.gov/email-me/,http://austinscott.house.gov,202-225-6531,Republican,5-Jan-11,3-Jan-17,5,41,GA,Georgia,9,2417 Rayburn House Office Building,rep,2018,No,,,
Barbara A. Mikulski,20-Jul-36,15-Dec-16,80,F,503 Hart Senate Office Building Washington DC 20510,http://www.mikulski.senate.gov/contact/shareyouropinion.cfm,https://www.mikulski.senate.gov,202-224-4654,Democratic,4-Jan-77,3-Jan-17,39,40,MD,Maryland,,503 Hart Senate Office Building,sen,2022,Yes,,,
Barbara Boxer,11-Nov-40,15-Dec-16,76,F,112 Hart Senate Office Building Washington DC 20510,https://www.boxer.senate.gov/contact/shareyourviews.html,https://www.boxer.senate.gov,202-224-3553,Democratic,3-Jan-83,3-Jan-17,33,42,CA,California,,112 Hart Senate Office Building,sen,2022,Yes,,,
Barbara Comstock,30-Jun-59,15-Dec-16,57,F,226 Cannon HOB; Washington DC 20515-4610,,https://comstock.house.gov,202-225-5136,Republican,6-Jan-15,3-Jan-17,1,55,VA,Virginia,11,226 Cannon House Office Building,rep,2018,No,,,
Barbara Lee,16-Jul-46,15-Dec-16,70,F,2267 Rayburn HOB; Washington DC 20515-0513,http://lee.house.gov/contact-the-office/email-me,http://lee.house.gov,202-225-2661,Democratic,7-Apr-98,3-Jan-17,18,51,CA,California,14,2267 Rayburn House Office Building,rep,2018,Yes,,,
Barry Loudermilk,22-Dec-63,15-Dec-16,52,M,238 Cannon HOB; Washington DC 20515-1011,,http://loudermilk.house.gov,202-225-2931,Republican,6-Jan-15,3-Jan-17,1,51,GA,Georgia,12,238 Cannon House Office Building,rep,2018,No,I believe that climate change is a function of nature; the climate has been changing as long as the Earth has existed.,"Atlanta Journal-Constitution, 12/31/15",http://www.myajc.com/news/news/state-regional-govt-politics/ga-politicians-cool-to-global-warming/njdR3/
Ben Ray Lujan,7-Jun-72,15-Dec-16,44,M,2446 Rayburn HOB; Washington DC 20515-3103,https://forms.house.gov/lujan/contact-form.shtml,http://lujan.house.gov,202-225-6190,Democratic,6-Jan-09,3-Jan-17,7,36,NM,New Mexico,4,2446 Rayburn House Office Building,rep,2018,Yes,,,
Ben Sasse,22-Feb-72,15-Dec-16,44,M,386A Russell Senate Office Building Washington DC 20510,,http://www.sasse.senate.gov,202-224-4224,Republican,6-Jan-15,3-Jan-21,1,42,NE,Nebraska,,386a Russell Senate Office Building,sen,2020,No,,,
Benjamin L. Cardin,5-Oct-43,15-Dec-16,73,M,509 Hart Senate Office Building Washington DC 20510,http://www.cardin.senate.gov/contact/,https://www.cardin.senate.gov,202-224-4524,Democratic,6-Jan-87,3-Jan-19,29,43,MD,Maryland,,509 Hart Senate Office Building,sen,2018,Yes,,,
Bennie G. Thompson,28-Jan-48,15-Dec-16,68,M,2466 Rayburn HOB; Washington DC 20515-2402,https://forms.house.gov/benniethompson/contact-form.shtml,http://benniethompson.house.gov,202-225-5876,Democratic,13-Apr-93,3-Jan-17,23,45,MS,Mississippi,3,2466 Rayburn House Office Building,rep,2018,Yes,,,
Bernard Sanders,8-Sep-41,15-Dec-16,75,M,332 Dirksen Senate Office Building Washington DC 20510,http://www.sanders.senate.gov/contact/comment,http://www.sanders.senate.gov,202-224-5141,Independent,3-Jan-91,3-Jan-19,25,49,VT,Vermont,,332 Dirksen Senate Office Building,sen,2018,Yes,,,
Beto O'Rourke,26-Sep-72,15-Dec-16,44,M,1330 Longworth HOB; Washington DC 20515-4316,https://orourkeforms.house.gov/forms/writeyourrep/,http://orourke.house.gov,202-225-4831,Democratic,3-Jan-13,3-Jan-17,3,40,TX,Texas,17,1330 Longworth House Office Building,rep,2018,Yes,,,
Betty McCollum,12-Jul-54,15-Dec-16,62,F,2256 Rayburn HOB; Washington DC 20515-2304,https://mccollum.house.gov/contact-me/email-me,http://mccollum.house.gov,202-225-6631,Democratic,3-Jan-01,3-Jan-17,15,46,MN,Minnesota,5,2256 Rayburn House Office Building,rep,2018,Yes,,,
Bill Cassidy,28-Sep-57,15-Dec-16,59,M,703 Hart Senate Office Building Washington DC 20510,https://cassidy.house.gov/contact/email-me,http://www.cassidy.senate.gov,202-224-5824,Republican,6-Jan-09,3-Jan-21,7,51,LA,Louisiana,,703 Hart Senate Office Building,sen,2020,No,"During a debate, Sen. Cassidy said, global temperatures have not risen in 15 years.","Washington Examiner, 10/14/14",http://www.washingtonexaminer.com/sen.-mary-landrieu-rep.-bill-cassidy-offer-opposing-climate-change-views/article/2554808
Bill Flores,25-Feb-54,15-Dec-16,62,M,1030 Longworth HOB; Washington DC 20515-4317,https://billflores.house.gov/contact/,http://flores.house.gov,202-225-6105,Republican,5-Jan-11,3-Jan-17,5,56,TX,Texas,18,1030 Longworth House Office Building,rep,2018,No,"It is time we stopped putting petty politics based on dubious 'agenda-driven, scientific' research ahead of creating more American energy.","Flores Campaign Website, 12/18/11",http://web.archive.org/web/20111218171003/http:/www.billfloresforcongress.com/energy
Bill Foster,7-Oct-55,15-Dec-16,61,M,1224 Longworth HOB; Washington DC 20515-1311,https://foster.house.gov/contact/email-me,http://foster.house.gov,202-225-3515,Democratic,8-Mar-08,3-Jan-17,8,52,IL,Illinois,12,1224 Longworth House Office Building,rep,2018,Yes,,,
Bill Huizenga,31-Jan-69,15-Dec-16,47,M,1217 Longworth HOB; Washington DC 20515-2202,http://huizenga.house.gov/contact/,http://huizenga.house.gov,202-225-4401,Republican,5-Jan-11,3-Jan-17,5,41,MI,Michigan,3,1217 Longworth House Office Building,rep,2018,No,"Today's global warming doomsayers simply lack the scientific evidence to support their claims. A host of leaders in the scientific community have recognized that the argument for drastic anthropogenic global warming is no longer based on science, but is being driven by irrational fanaticism.","VoteMI.org, 12/8/10",http://vote-mi.org/Intro.aspx?State=MI&Id=MIHUIZENGABILL
Bill Johnson,10-Nov-54,15-Dec-16,62,M,1710 Longworth HOB; Washington DC 20515-3506,http://billjohnson.house.gov/contact/default.aspx,http://billjohnson.house.gov,202-225-5705,Republican,5-Jan-11,3-Jan-17,5,56,OH,Ohio,7,1710 Longworth House Office Building,rep,2018,No,"Johnson asserted in 2011, I am not an alarmist that believes that greenhouse gas emissions coming from the coal industry are causing major problems.","ThinkProgress, 6/6/13",http://thinkprogress.org/climate/2013/06/06/2113571/gop-congressman-with-computer-science-degree-justifies-opposition-to-epa-rules-im-a-scientist/
Bill Nelson,29-Sep-42,15-Dec-16,74,M,716 Hart Senate Office Building Washington DC 20510,http://www.billnelson.senate.gov/contact-bill,https://www.billnelson.senate.gov,202-224-5274,Democratic,15-Jan-79,3-Jan-19,37,36,FL,Florida,,716 Hart Senate Office Building,sen,2018,Yes,,,
Bill Pascrell Jr.,25-Jan-37,15-Dec-16,79,M,2370 Rayburn HOB; Washington DC 20515-3009,https://pascrell.house.gov/contact/email-me,http://pascrell.house.gov,202-225-5751,Democratic,7-Jan-97,3-Jan-17,19,59,NJ,New Jersey,10,2370 Rayburn House Office Building,rep,2018,Yes,,,
Bill Posey,18-Dec-47,15-Dec-16,68,M,120 Cannon HOB; Washington DC 20515-0908,https://posey.house.gov/forms/writeyourrep/,http://posey.house.gov,202-225-3671,Republican,6-Jan-09,3-Jan-17,7,61,FL,Florida,9,120 Cannon House Office Building,rep,2018,No,"Posey told White House science advisor John Holdren that global warming is a ""natural phenomenon,"" and says that ""we were worried about global cooling before Gore invented the Internet.""","YouTube,3/26/14",https://www.youtube.com/watch?v=-EHY_uMWYds
Bill Shuster,10-Jan-61,15-Dec-16,55,M,2268 Rayburn HOB; Washington DC 20515-3809,http://shuster.house.gov/contact-form/,http://shuster.house.gov,202-225-2431,Republican,17-May-01,3-Jan-17,15,40,PA,Pennsylvania,10,2268 Rayburn House Office Building,rep,2018,No,Protecting our environment for future generations is one of the most important issues facing our country and the world. There continues to be debate among the scientific community on the precise reason why global temperatures have gradually risen over the last century.,"WTAJ-TV, 8/18/08",https://web.archive.org/web/20150117005147/http://www.wearecentralpa.com/story/bill-shuster/d/story/BLsqBArb-0WOFLlHM3UHNw
Billy Long,11-Aug-55,15-Dec-16,61,M,1541 Longworth HOB; Washington DC 20515-2507,https://longforms.house.gov/email-billy,http://long.house.gov,202-225-6536,Republican,5-Jan-11,3-Jan-17,5,55,MO,Missouri,8,1541 Longworth House Office Building,rep,2018,No,,,
Blaine Luetkemeyer,7-May-52,15-Dec-16,64,M,2440 Rayburn HOB; Washington DC 20515-2503,https://luetkemeyer.house.gov/forms/writeyourrep/,http://luetkemeyer.house.gov,202-225-2956,Republican,6-Jan-09,3-Jan-17,7,56,MO,Missouri,4,2440 Rayburn House Office Building,rep,2018,No,"Folks in Missouri and across the country are tired of this never ending government spending spree, and my goal is to deliver some of our people's hard-earned money back into their pocketbooks instead of spending it on international junk scienc. Meanwhile, our very own Environmental Protection Agency recently reported that we are undergoing a period of worldwide cooling.",Luetkemeyer Website,http://luetkemeyer.house.gov/news/documentprint.aspx?DocumentID=279631
Blake Farenthold,12-Dec-61,15-Dec-16,55,M,1027 Longworth HOB; Washington DC 20515-4327,http://farentholdforms.house.gov/contact/email.htm,http://farenthold.house.gov,202-225-7742,Republican,5-Jan-11,3-Jan-17,5,49,TX,Texas,28,1027 Longworth House Office Building,rep,2018,No,"Global warming is scare tactic used by groups with a political agenda. While I support protecting the environment, the green agenda pushes it way beyond common sense, with ideas like cap and trade which would destroy American industry.",Farenthold Website,http://blake.com/?page_id=271
Bob Corker,24-Aug-52,15-Dec-16,64,M,425 Dirksen Senate Office Building Washington DC 20510,http://www.corker.senate.gov/public/index.cfm/emailme,http://www.corker.senate.gov,202-224-3344,Republican,4-Jan-07,3-Jan-19,9,54,TN,Tennessee,,425 Dirksen Senate Office Building,sen,2018,No,,,
Bob Gibbs,14-Jun-54,15-Dec-16,62,M,329 Cannon HOB; Washington DC 20515-3507,https://gibbs.house.gov/contact-me/email-me,http://gibbs.house.gov,202-225-6265,Republican,5-Jan-11,3-Jan-17,5,56,OH,Ohio,8,329 Cannon House Office Building,rep,2018,No,It is clear that science has not been able to document what is happening and if human activity is causing a problem or not. Many scientists are on both sides of this issue and the proponents of climate change have not substantiated their findings based on sound science.,League of Women Voters 2010 Voters Guide,http://gawker.com/this-snarky-article
Bob Goodlatte,22-Sep-52,15-Dec-16,64,M,2309 Rayburn HOB; Washington DC 20515-4606,http://goodlatte.house.gov/contacts/new,http://goodlatte.house.gov,202-225-5431,Republican,5-Jan-93,3-Jan-17,23,40,VA,Virginia,7,2309 Rayburn House Office Building,rep,2018,No,"There is no doubt that the earth's climate is changing. The earth and its climate are dynamic, and have changed throughout history even without human activity. We have reached a point where some experts concur that the earth is once again warming. Regardless of the reason, the debate over climate change should remind us that we should be good stewards of our planet.","Times Dispatch, 7/4/10",http://www.richmond.com/business/article_c99f5f98-f5f0-5f0b-8ccc-7b2cce7a8a72.html
Bobby L. Rush,23-Nov-46,15-Dec-16,70,M,2188 Rayburn HOB; Washington DC 20515-1301,https://rush.house.gov/contact-me/legislative-issues,http://rush.house.gov,202-225-4372,Democratic,5-Jan-93,3-Jan-17,23,46,IL,Illinois,2,2188 Rayburn House Office Building,rep,2018,Yes,,,
Bonnie Watson Coleman,6-Feb-45,15-Dec-16,71,F,126 Cannon HOB; Washington DC 20515-3012,,https://watsoncoleman.house.gov,202-225-5801,Democratic,6-Jan-15,3-Jan-17,1,69,NJ,New Jersey,13,126 Cannon House Office Building,rep,2018,Yes,,,
Brad Ashford,10-Nov-49,15-Dec-16,67,M,107 Cannon HOB; Washington DC 20515-2702,,https://ashford.house.gov,202-225-4155,Democratic,6-Jan-15,3-Jan-17,1,65,NE,Nebraska,3,107 Cannon House Office Building,rep,2018,Yes,,,
Brad R. Wenstrup,17-Jun-58,15-Dec-16,58,M,1318 Longworth HOB; Washington DC 20515-3502,http://wenstrup.house.gov/contact/,http://wenstrup.house.gov,202-225-3164,Republican,3-Jan-13,3-Jan-17,3,54,OH,Ohio,3,1318 Longworth House Office Building,rep,2018,No,,,
Brad Sherman,24-Oct-54,15-Dec-16,62,M,2242 Rayburn HOB; Washington DC 20515-0530,http://sherman.house.gov/contact/contact-congressman-sherman-form,http://sherman.house.gov,202-225-5911,Democratic,7-Jan-97,3-Jan-17,19,42,CA,California,31,2242 Rayburn House Office Building,rep,2018,Yes,,,
Bradley Byrne,16-Feb-55,15-Dec-16,61,M,119 Cannon HOB; Washington DC 20515-0101,https://byrne.house.gov/contact/email-me,https://byrne.house.gov,202-225-4931,Republican,8-Jan-14,3-Jan-17,2,58,AL,Alabama,2,119 Cannon House Office Building,rep,2018,No,,,
Brenda L. Lawrence,18-Oct-54,15-Dec-16,62,F,1237 Longworth HOB; Washington DC 20515-2214,,https://lawrence.house.gov,202-225-5802,Democratic,6-Jan-15,3-Jan-17,1,60,MI,Michigan,15,1237 Longworth House Office Building,rep,2018,Yes,,,
Brendan F. Boyle,6-Feb-77,15-Dec-16,39,M,118 Cannon HOB; Washington DC 20515-3813,,https://boyle.house.gov,202-225-6111,Democratic,6-Jan-15,3-Jan-17,1,37,PA,Pennsylvania,14,118 Cannon House Office Building,rep,2018,Yes,,,
Brett Guthrie,18-Feb-64,15-Dec-16,52,M,2434 Rayburn HOB; Washington DC 20515-1702,http://brettguthrieforms.house.gov/contact/,http://guthrie.house.gov,202-225-3501,Republican,6-Jan-09,3-Jan-17,7,44,KY,Kentucky,3,2434 Rayburn House Office Building,rep,2018,No,,,
Brian Babin,23-Mar-48,15-Dec-16,68,M,316 Cannon HOB; Washington DC 20515-4336,,http://babin.house.gov,202-225-1555,Republican,6-Jan-15,3-Jan-17,1,66,TX,Texas,37,316 Cannon House Office Building,rep,2018,No,,,
Brian Higgins,6-Oct-59,15-Dec-16,57,M,2459 Rayburn HOB; Washington DC 20515-3226,http://higgins.house.gov/contact/email-brian,http://higgins.house.gov,202-225-3306,Democratic,4-Jan-05,3-Jan-17,11,45,NY,New York,27,2459 Rayburn House Office Building,rep,2018,Yes,,,
Brian Schatz,20-Oct-72,15-Dec-16,44,M,722 Hart Senate Office Building Washington DC 20510,http://www.schatz.senate.gov/contact,http://www.schatz.senate.gov,202-224-3934,Democratic,27-Dec-12,3-Jan-17,3,40,HI,Hawaii,,722 Hart Senate Office Building,sen,2022,Yes,,,
Bruce Poliquin,1-Nov-53,15-Dec-16,63,M,426 Cannon HOB; Washington DC 20515-1902,,https://poliquin.house.gov,202-225-6306,Republican,6-Jan-15,3-Jan-17,1,61,ME,Maine,3,426 Cannon House Office Building,rep,2018,No,"Clearly our climate is changing; the question is, is man responsible for that climate change? I personally am suspect.","Maine Public Broadcasting Network, 6/4/10",http://www.mpbn.net/News/MPBNNews/tabid/1159/ctl/ViewItem/mid/3762/ItemId/12468/Default.aspx
Bruce Westerman,18-Nov-67,15-Dec-16,49,M,130 Cannon HOB; Washington DC 20515-0404,,https://westerman.house.gov,202-225-3772,Republican,6-Jan-15,3-Jan-17,1,47,AR,Arkansas,5,130 Cannon House Office Building,rep,2018,No,You did state rather emphatically and include in your written testimony that carbon pollution is the biggest driver of climate change. That obviously is debatable it's been debated here quite a bit. But I want to go past that and pretend with you that carbon is arch enemy number one.,"House Committee on Natural Resources hearing, 5/13/15 via The Guardian",http://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/may/21/congress-manufactures-doubt-and-denial-in-climate-change-hearing
C. A. Dutch Ruppersberger,31-Jan-46,15-Dec-16,70,M,2416 Rayburn HOB; Washington DC 20515-2002,http://ruppersberger.house.gov/contact-dutch/email-dutch,http://ruppersberger.house.gov,202-225-3061,Democratic,7-Jan-03,3-Jan-17,13,56,MD,Maryland,3,2416 Rayburn House Office Building,rep,2018,Yes,,,
Candice S. Miller,7-May-54,15-Dec-16,62,F,320 Cannon HOB; Washington DC 20515-2210,http://candicemiller.house.gov/contact,http://candicemiller.house.gov,202-225-2106,Republican,7-Jan-03,3-Jan-17,13,48,MI,Michigan,11,320 Cannon House Office Building,rep,2018,No,"ñThere is little doubt that the worldÍs climate is changing, because the climate has always changed. Just ask the dinosaurs or remember the ice age and how huge glaciers melting and moving formed our Great Lakes. The question is whether the current climate change is human-induced.î","Miller, 12/14/09",https://candicemiller.house.gov/media-center/editorials/save-jobs-from-questionable-climate-rules
Carlos Curbelo,1-Mar-80,15-Dec-16,36,M,1429 Longworth HOB; Washington DC 20515-0926,,http://curbelo.house.gov,202-225-2778,Republican,6-Jan-15,3-Jan-17,1,34,FL,Florida,27,1429 Longworth House Office Building,rep,2018,Yes,,,
Carolyn B. Maloney,19-Feb-46,15-Dec-16,70,F,2308 Rayburn HOB; Washington DC 20515-3212,https://maloney.house.gov/contact-me/email-me,http://maloney.house.gov,202-225-7944,Democratic,5-Jan-93,3-Jan-17,23,46,NY,New York,13,2308 Rayburn House Office Building,rep,2018,Yes,,,
Cathy McMorris Rodgers,22-May-69,15-Dec-16,47,F,203 Cannon HOB; Washington DC 20515-4705,https://mcmorrisforms.house.gov/write-to-cathy1,http://mcmorris.house.gov,202-225-2006,Republican,4-Jan-05,3-Jan-17,11,35,WA,Washington,6,203 Cannon House Office Building,rep,2018,No,"Scientific reports are inconclusive at best on human culpability for global warming. Regardless of which theory proves correct, the goal is the same _ to reduce carbon emissions, we need innovation in the private sector; not excessive government regulation to stifle some industries while rewarding others. I oppose 'cap and trade' and other Big Government schemes because they will destroy jobs while likely having minimal impact on the climate.","The Spokesman-Review, 7/15/12",http://www.spokesman.com/stories/2012/jul/15/cathy-mcmorris-rodgers-q-15-topics/
Cedric L. Richmond,13-Sep-73,15-Dec-16,43,M,240 Cannon HOB; Washington DC 20515-1802,https://richmond.house.gov/contact-me/email-me,http://richmond.house.gov,202-225-6636,Democratic,5-Jan-11,3-Jan-17,5,37,LA,Louisiana,3,240 Cannon House Office Building,rep,2018,Yes,,,
Charles B. Rangel,11-Jun-30,15-Dec-16,86,M,2354 Rayburn HOB; Washington DC 20515-3213,https://rangel.house.gov/contact-me/email-me,http://rangel.house.gov,202-225-4365,Democratic,21-Jan-71,3-Jan-17,45,40,NY,New York,14,2354 Rayburn House Office Building,rep,2018,Yes,,,
Charles E. Schumer,23-Nov-50,15-Dec-16,66,M,322 Hart Senate Office Building Washington DC 20510,http://www.schumer.senate.gov/Contact/email-chuck,https://www.schumer.senate.gov,202-224-6542,Democratic,5-Jan-81,3-Jan-17,35,30,NY,New York,,322 Hart Senate Office Building,sen,2022,Yes,,,
"Charles J. ""Chuck"" Fleischmann",11-Oct-62,15-Dec-16,54,M,230 Cannon HOB; Washington DC 20515-4203,https://fleischmann.house.gov/contact-me/email-me,http://fleischmann.house.gov,202-225-3271,Republican,5-Jan-11,3-Jan-17,5,48,TN,Tennessee,4,230 Cannon House Office Building,rep,2018,No,"When asked his opinion about global warming during a candidate debate, Fleischmann said: ñI think we ought to take Al Gore, put him on an iceberg, and put him way out there.î","Times Free Press, 7/5/12",http://www.timesfreepress.com/news/opinion/times/story/2012/jul/07/put-who-on-an-iceberg-chattanooga-times/81964/
