nameFull,careerContributions,imageUrl,quote,stateAbr,quoteAnchor,quoteRef,quoteRefUrl
John McCain,"$3,480,702",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/John_McCain.jpg,"“For years during the Bush presidency, John McCain argued that global warming pollution was an existential threat that required a strict cap-and-trade carbon market. Now that Obama is president and climate policy is a real possibility, McCain sounds and acts like a climate science denier: ‘I do not support the cap-and-trade energy reform legislation under consideration in Congress. There are dramatic environmental changes happening in the arctic region — whether one believes they are man-made or natural.’ McCain now opposes the cap-and-trade policy he once championed, and opposes the EPA finding that greenhouse gases are pollution.”",AZ,zinakissa,"ThinkProgress, 9/13/10",http://thinkprogress.org/climate/2010/09/13/174788/gop-senate-deniers/
Rick Crawford,"$81,022",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Rick_Crawford.jpg,"Crawford fielded a question regarding climate change and President Obama’s environmental agenda while speaking to radio station KASU 91.9 FM. “There’s not sound science to support some of the initiatives that the President, I think, is committed to. We know that some of the research was faulty and it drove a lot of the agenda for a long time. And then it turned out there were some questions about the validity of that research.” He continued, “I don’t see a lot of the green initiatives that are being talked about being supported by scientific data, but more supported by political agendas.”",AR,valvztzkc,"Talk Business, 1/27/13",http://talkbusiness.net/2013/01/cong-crawford-wants-permanent-spending-controls/
Bruce Westerman,"$97,450",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Bruce_Westerman.jpg,“You did state rather emphatically and include in your written testimony that carbon pollution is the biggest driver of climate change. That obviously is debatable it’s been debated here quite a bit. But I want to go past that and pretend with you that carbon is arch enemy number one.”,AR,xsjgkqmpt,"House Committee on Natural Resources hearing, 5/13/15 via The Guardian",http://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/may/21/congress-manufactures-doubt-and-denial-in-climate-change-hearing
John Boozman,"$276,627",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/John_Boozman.jpg,"“Well I think that we’ve got perhaps climate change going on. The question is what’s causing it. Is man causing it, or, you know, is this a cycle that happens throughout the years, throughout the ages. And you can look back some of the previous times when there was no industrialization, you had these different ages, ice ages, and things warming and things. That’s the question.” More recently, Boozman said, “Now I’m not a scientist but I’m an optometrist, and I spent much of my life working with the scientific community. I was a zoology major. And I’ve said before that there’s nothing scientific about discrediting people who present conflicting evidence and ask reasonable questions.”",AR,krqtjhinv,"ThinkProgress, 9/13/10 ||| Arkansas Times, 6/21/14",http://thinkprogress.org/climate/2010/09/13/174788/gop-senate-deniers/ ||| http://www.arktimes.com/ArkansasBlog/archives/2014/06/21/daily-show-ridicules-john-boozman-on-climate-change
Tom Cotton,"$622,630",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Tom_Cotton.jpg,"“The simple fact is that for the last 16 years the earth’s temperature has not warmed. That’s the facts...Now, there’s no doubt that the temperature has risen over the past 150, 200 years. It’s most likely that human activity has contributed to some of that.”",AR,dihovykhh,"Arkansas Times, 9/25/14",http://www.arktimes.com/ArkansasBlog/archives/2014/09/25/cotton-on-climate-change-yes-its-probably-real-but-let-the-market-handle-it
Doug LaMalfa,"$80,750",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Doug_LaMalfa.jpg,"“There’s a lot coming out lately about the sun going into a cooler phase because we’re not getting the sunspot activity, so it’s starting to blow up the global warming idea, which if you’re tracking temperatures haven’t really edged up in at least 18 years.”",CA,ibnuacttl,"KNCO, 4/12/15",http://knco.com/lamalfa-hosts-contentious-town-hall-meeting/
Tom McClintock,"$208,550",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Tom_McClintock.jpg,"“The planet has been warming — on and off — since the last ice age, when glaciers covered much of North America. The climate has been changing since the planet formed, often much more abruptly than it has in recent millennia. Until the earth begins moving into its next ice age, we can reasonably expect it to continue to warm. That will mean less water can be stored in snow packs and therefore more will need to be stored behind dams.”",CA,xeucdztpe,"Congressman Tom McClintock, 2/27/14",https://mcclintock.house.gov/newsroom/speeches/california-water-its-the-storage
Jeff Denham,"$352,997",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Jeff_Denham.jpg,"“Nobody really knows the cause. The Earth cools, the Earth warms … It could be caused by carbon dioxide or methane. Maybe we should kill the cows to stop the methane, or stop breathing to stop the CO2 … Thousands of people die every year of cold, so if we had global warming it would save lives … We ought to look out for people. The Earth can take care of itself.”",CA,yrmaiiryq,"Daily Journal, 4/22/14",http://www.smdailyjournal.com/articles/opinions/2014-04-22/op-ed-treat-climate-change-like-a-security-threat/1776425121892.html
Devin Nunes,"$335,000",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Devin_Nunes.jpg,"Nunes has questioned questions humans’ contribution to climate change: “Scientists admit that they cannot be sure whether the Earth’s temperature is rising due to cyclical warming and cooling processes, or whether and how much humans are influencing it,” he said. He has also called the science behind human-caused climate change “emotional junk science” and accused “environmental extremists” of adopting it “as a religion.”",CA,pwhddrpjh,"Project Vote Smart Issue Position, 1/1/12 ||| Run on Sun, 8/14/13 ||| National Review, 4/14/15",http://votesmart.org/public-statement/353529/ ||| http://runonsun.com/~runons5/blogs/blog1.php/climate/of-unicorns-and-climate-change ||| http://www.nationalreview.com/article/416918/no-farmers-dont-use-80-percent-californias-water-devin-nunes
Ken Calvert,"$364,474",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Ken_Calvert.jpg,"Calvert co-sponsored H.Res.954, a resolution that stated: “Whereas recent events have uncovered extensive evidence from the Climate Research Unit at the University of East Anglia in England (in this resolution referred to as the ‘CRU’) which involved many researchers across the globe discussing the destruction, altering, and hiding of data that did not support global warming claims.”",CA,bdtprcwji,"H.Res.954, Gov Track, 12/8/09",https://www.govtrack.us/congress/bills/111/hres974/text
Dana Rohrabacher,"$91,294",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Dana_Rohrabacher.jpg,"“Just so you’ll know, global warming is a total fraud and it’s being designed because what you’ve got is you’ve got liberals who get elected at the local level want state government to do the work and let them make the decisions. Then, at the state level, they want the federal government to do it. And at the federal government, they want to create global government to control all of our lives.”",CA,meusczjxd,"Huffington Post, 8/12/13",http://www.huffingtonpost.com/2013/08/12/dana-rohrabacher-global-warming_n_3743390.html
Darrell Issa,"$317,910",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Darrell_Issa.jpg,“One of the difficulties in examining the issue of the climate change and greenhouse gases is that there is a wide range of scientific opinion on this issue and the science community does not agree to the extent of the problem or the critical threshold of when this problem is truly catastrophic.”,CA,hxesgghfz,"Project Vote Smart Issue Position, 1/1/12; Run on Sun, 8/14/13; National Review, 4/14/15",
Duncan Hunter,"$70,150",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Duncan_Hunter.jpg,“There is climate change. Is there human-caused climate change? I don’t buy that.”,CA,pnfupgswm,"Times of San Diego, 9/26/14",http://timesofsandiego.com/politics/2014/09/26/hunter-kimber-spar-50th-district-debate/
Scott Tipton,"$445,563",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Scott_Tipton.jpg,"“Tipton conceded that climate change exists, but argued that it’s caused by natural climate cycles rather than humans. ‘Here in the state of Colorado as our tree rings demonstrate, we’ve had droughts long before there were very many people here,’ the Tea Party freshman argued. Acknowledging that humans can affect the climate is futile because it would ‘divide America,’ said Tipton.”",CO,rugvcvvem,"ThinkProgress, 8/23/12",http://thinkprogress.org/climate/2012/08/23/734181/scott-tipton-climate-change/
Ken Buck,"$411,822",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Ken_Buck.jpg,"“Inhofe was the first person to stand up and say this global warming is the greatest hoax that has been perpetrated. The evidence just keeps supporting his view, and more and more people’s view, of what’s going on.”",CO,btnhxwuyp,"ThinkProgress, 8/8/13",http://thinkprogress.org/politics/2013/08/08/2434291/reintroducing-ken-buck-colorado/
Doug Lamborn,"$336,838",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Doug_Lamborn.jpg,"“We must always strive to be good stewards of our environment. However, we must not cripple our economy and potential for growth and development with hugely expensive costs based on assertions that are being disputed and questioned within the scientific community,” Lamborn said. He has also said there are “a lot of contentious facts and claims about global warming and whether it is man made and ‘not much unanimity’ about it.”",CO,dgzywximm,"The Mountain Mail, 6/3/13|||Doug Lamborn Website, 5/15/15",http://google.com/|||http://google.com
Mike Coffman,"$760,346",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Mike_Coffman.jpg,"“There is no question that climate change is real and has existed since the beginning of time, and will always be a factor that can negatively impact our environment. The role that carbon emissions, from human activity, have on climate change is still a subject of debate. But what is clear is that we should do all that we can to reduce carbon emissions in order to improve the quality of our environment. However, we should do so under a balanced approach that considers the economic impact of the rate at which we reduce our carbon emissions.”",CO,ykksegcbp,Mike Coffman Website Issues,https://coffman.house.gov/issues/climate-change
Cory Gardner,"$1,235,199",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Cory_Gardner.jpg,"“During the lightning round, yes-or-no portion of The Denver Post debate between Gardner and Udall, the Republican was asked ‘do you believe humans are contributing significantly to climate change?’ ‘Well, I’ve said all along climate is changing,’ Gardner began, earning reprimands from the moderators to answer in one word. ‘This is an important issue and I don’t think you can say yes or no,’ Gardner fired back, earning boos from the crowd and another reprimand. ‘I believe climate is changing, but I disagree to the extent that’s been in the news that man is changing — ’ he started again, earning a third reprimand and a reminder that he would have time later to explain his answer if he wanted.”",CO,pdkpamjrh,"MSNBC, 10/6/14",http://www.msnbc.com/msnbc/gop-senate-candidate-wont-answer-climate-change
Ted Yoho,"$18,900",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Ted_Yoho.jpg,"When asked by ThinkProgress’s Scott Keyes if climate change was caused by human action Yoho said, “No. I think it’s a natural occurrence. I think we need to be good stewards of the resources we have and we need to get better, which we have, through technology and innovation.”",FL,qromzbvdr,"ThinkProgress, 4/15/14",http://thinkprogress.org/climate/2014/04/15/3426668/ted-yoho-climate-denier/
Dennis Ross,"$80,250",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Dennis_Ross.jpg,"Ross told ThinkProgress, “Climate change has gone on for millions of years. I think we are contributing to some climate change, but I am not accepting all the theories that are out there that say climate change is what it is because of us.”",FL,qsgqvnzma,"ThinkProgress, 3/21/14",http://thinkprogress.org/climate/2014/03/21/3417465/dennis-ross-climate-change/
Jeff Miller,"$9,250",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Jeff_Miller.jpg,"On MSNBC, Miller said, “the issue of climate change has been happening for a long time, and for us to be able to think that we, as matter of fact, can change what’s going on right now to any substantive measure is -- is really kind of foolish in my opinion.”",FL,ozityhgzl,"MSNBC, 6/9/14",http://talkingpointsmemo.com/livewire/jeff-miller-human-activity-climate-change-foolish?utm_content=buffere1c64&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer
Bill Posey,"$50,400",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Bill_Posey.jpg,"Posey told White House science advisor John Holdren that global warming is a ""natural phenomenon,"" and says that ""we were worried about global cooling before Gore invented the Internet.""",FL,doeihjney,"YouTube,3/26/14",https://www.youtube.com/watch?v=-EHY_uMWYds
Mario Diaz-Balart,"$95,500",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Mario_Diaz-Ballart.jpg,"“I know there’s a lot of money to be made on the bandwagon of global warming, you can make movies, documentaries, get a lot of research money — and that’s okay, I love capitalism … My fear is using the bandwagon of global warming to have Congress act on some knee-jerk reaction which will please some editorialists, will hurt our economy, will not do anything to help us in the future.”",FL,uyxwkehim,"Mario Diaz-Balart Video, 9/25/07",https://www.youtube.com/watch?v=0RhCBDBvACE
Marco Rubio,"$803,267",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Marco_Rubio.jpg,At a town hall meeting in Iowa a voter told Rubio that he believed global warming is a hoax. Rubio responded: “It’s not in this following sense: The climate has always changed.”,FL,ldeudpagv,"Des Moines Register, 2/24/16",http://www.desmoinesregister.com/story/news/elections/presidential/caucus/2016/01/24/marco-rubio-opposes-climate-change-measures/79274914/
Buddy Carter,"$44,650",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Buddy_Carter.jpg,“Certainly we have to pay attention to [climate change]. There’s no doubt about that. But I do have reservations about how real it is.”,GA,poezacfkk,"Savannah Morning News, 7/7/14",http://savannahnow.com/news/2014-07-14/johnson-keeps-attacks-carter-1st-district-gop-debate
Lynn Westmoreland,"$90,250",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Lynn_Westmoreland.jpg,"Co-filed a petition to the Environmental Protection Agency to reconsider the endangerment finding that said: “Climategate reveals a serious lack of integrity in the underlying data and models, such that it is doubtful that any process can be trusted until the data and models are validated and their integrity assured.”",GA,uodcaypts,"Petition to EPA, 12/23/09",http://www3.epa.gov/climatechange/Downloads/endangerment/Petition_for_Reconsideration_Southeastern_Legal_Foundation.pdf
Jody Hice,"$11,100",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Jody_Hice.jpg,“The Radical Environmental Movement with former Vice President Al Gore as its poster boy has propagandized the theory of impending environmental disaster due to ‘Global Warming.’…The theory is that so-called global warming is caused by greenhouse gases caused by carbon-based fuels.”,GA,eaapjgaga,"Jody Hice for Congress 2010 archive via the WaybackMachine, last accessed February 2016",https://web.archive.org/web/20100715104711/http:/www.jodyhice.com/issues/tax_kill.html
Tom Price,"$137,000",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Tom_Price.jpg,"“This decision goes against all common sense, especially considering the many recent revelations of errors and obfuscation in the allegedly ‘settled science’ of global warming.”",GA,codvylmaf,Republican Study Committee via VoteSmart,https://votesmart.org/public-statement/490191/republicans-continue-to-fight-national-energy-tax#.VsRk2jYrKRs
Doug Collins,"$49,250",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Doug_Collins.jpg,"When asked if he believes human activity is contributing to climate change, Collins answered “no.”",GA,qltcasauq,"Project Vote Smart Political Courage Test, 2012",http://votesmart.org/candidate/political-courage-test/67851/doug-collins/
Barry Loudermilk,"$26,500",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Barry_Loudermilk.jpg,“I believe that climate change is a function of nature; the climate has been changing as long as the Earth has existed.”,GA,mwlnxoolw,"Atlanta Journal-Constitution, 12/31/15",http://www.myajc.com/news/news/state-regional-govt-politics/ga-politicians-cool-to-global-warming/njdR3/
Rick Allen,"$46,050",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Rick_Allen.jpg,"In response to an Atlanta Journal-Constitution question, Allen “vehemently rejected the idea that warming is an established fact,” asserting in writing that the “science is definitely NOT settled.”",GA,lnlvqmetv,"Atlanta Journal-Constitution, 12/31/15",http://www.myajc.com/news/news/state-regional-govt-politics/ga-politicians-cool-to-global-warming/njdR3/
David Perdue,"$217,150",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/David_Perdue.jpg,“The scientific community is not in total agreement about whether mankind has been a contributing factor.”,GA,kxqwzltob,"Atlanta Journal-Constitution, 8/8/15",http://www.myajc.com/news/news/state-regional-govt-politics/state-agencys-warning-on-climate-change-spurs-acti/nnFBz/
Johnny Isakson,"$442,583",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Johnny_Isakson.jpg,"“Science has shown us that there has been a gradual warming of the earth over the last 50 years. What is not as clear is whether the cause for this warming is man-made emissions, a cyclical warming of the planet, or a combination of both. Given the uncertainty in the science behind climate change, I believe that we should take proactive steps, both personally and as a nation, to reduce our emissions footprint.”",GA,awbfafjsc,"Project Vote Smart Issue Position, 1/1/11",http://votesmart.org/public-statement/580879/issue-position-energy-and-the-environment#.VtXBTPkrLcs
Mike Simpson,"$327,750",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Mike_Simpson.jpg,“There is widespread disagreement as to the magnitude of human influence on the climate and the degree to which any effort by humanity to reduce carbon output would slow or reverse the effects of climate change.”,ID,amlfurdes,Mike Simpson Website,http://simpson.house.gov/issuestatements/climatechange.htm
Raul Labrador,"$35,300",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Raúl_Labrador.jpg,"“It’s interesting that about a decade ago there was a lot of talk about ‘global warming.’ Thirty years ago we were talking about ‘global cooling.’ Now all we hear about is ‘climate change.’ There has been evidence throughout history of cycles when the earth gets warmer and cycles when the earth gets colder. We should always be wise stewards of the earth and all of our natural resources. But as a policymaker, I won't be guided by the global warming propaganda machine. Al Gore - we need you to return your Nobel Peace Prize!”",ID,kdospemxv,"Meet the Press, 2/13/14",http://www.nbcnews.com/meet-the-press/10-questions-rep-raul-labrador-r-id-n29051
Mike Crapo,"$459,393",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Mike_Crapo.jpg,"“The debate over climate change has raged for many years. Natural factors such as solar activity, volcanic eruptions and orbital changes have affected the Earth's climate, resulting in both ice ages and periods of warming as far back as current technology can measure…While there is no dispute over the fact that the Earth's climate has changed many times over the planet's history, the underlying cause of these climactic shifts is ultimately not well-understood and is a matter of vigorous debate.”",ID,hsnmzwrec,Crapo Website,http://www.crapo.senate.gov/issues/environment/climate_change.cfm
Peter Roskam,"$335,315",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Peter_Roskam.jpg,“Roskam drew the ire of the crowd by calling global warming junk science.”,IL,vgnftqsok,"College of DuPage Courier, 10/20/06",http://web.archive.org/web/20070928001803/http:/www.cod.edu/courier/10.20.06/NEWS_10.20.06.pdf
Mike Bost,"$90,450",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Mike_Bost.jpg,"In a 2014 interview with St. Louis Public Radio, Bost disagreed with his opponent and now former Democratic Congressman Bill Enyart over whether climate change is real. “I don’t. I don’t know that I do; no,” Bost said. “Some scientists do; some scientists don’t” believe in climate change he said.",IL,oalhpzvdi,"St. Louis Public Radio, 10/16/14",http://news.stlpublicradio.org/post/illinois-12th-district-contenders-highlight-differences
Rodney Davis,"$248,065",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Rodney_Davis.jpg,"During an interview with Illinois Public Media radio, a constituent asked Representative Rodney Davis what he planned to do to combat climate change, and he responded that “global warming has stopped 16 years ago.” He then went on the say that climate change is real but the debate is over whether or not it is manmade or natural.",IL,hqnqouomw,"Illinois Public Media, 10/16/12",http://will.illinois.edu/focus/program/talk-to-the-candidate-rodney-davis-r-13th-illinois-congressional-district
Randy Hultgren,"$67,900",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Randy_Hultgren.jpg,"“The greatest impact on our climate clearly is the sun, and we have very little impact on the sun and how much energy and temperature the sun is sending to the earth. We have seen clearly over thousands of years that at different times more energy has come through and different times less energy has come through, and that variation has impacted climate change. Over the thousands of years that’s been recorded we’ve had both colder times and warmer times. It happens to be that we’ve recently come out of a warmer time and now actually we’re headed in to a little bit of a colder time, the impact of the sun is much different than impact that we could have had.”",IL,xicvvwupd,"Illinois Review, 12/2/09",http://illinoisreview.typepad.com/illinoisreview/2009/12/on-the-issues-14th-congressional-district-randy-hultgren.html
John Shimkus,"$863,178",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/John_Shimkus.jpg,"""And I do believe that God said the Earth would not be destroyed by a flood. Now, do I believe in climate change? In my trip to Greenland, the answer is yes. The climate is changing…The question is more about the costs and benefits and trying to spend taxpayer dollars on something that you cannot stop versus the changes that have been occurring forever. That's the real debate.""",IL,lkoaspxyy,"Politico, 11/10/10",http://www.politico.com/story/2010/11/shimkus-cites-genesis-on-climate-044958
Marlin Stutzman,"$109,698",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Marlin_Stutzman.jpg,“One regulatory threat that our economy faces is the promulgation of a cap and trade system. My concern with these potential new regulations is that they will begin to regulate anthropogenic (man-made) climate change problems that the science community has not officially determined to exist.”,IN,heoibymvg,"Stutzman Website, last accessed February 2016",http://stutzman.house.gov/pages/enviroment
Todd Rokita,"$107,650",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Todd_Rokita.jpg,"“We also agree that the science behind climate change is not conclusive. Meanwhile, most human emissions, which are far less than natural CO2 emissions, derive from electricity, transportation, and industry. These are the engines of change that have modernized and improved our lives.”",IN,xczkmtgig,"Todd Rokita Website, 9/14/15",https://rokita.house.gov/press-release/rokita-statement-pope-francis%E2%80%99s-historic-visit
Larry Bucshon,"$213,450",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Larry_Bucshon.jpg,"“It’s not about affecting the global temperature and climate change. There’s public comments out there that that question has been answered saying ‘no…’ Of all the climatologists whose career depends on the climate changing to keep themselves publishing articles, yes I could read that. But I don’t believe it.”",IN,giccbhcms,"The Daily Show, 9/22/14",http://www.cc.com/video-clips/8q3nmm/the-daily-show-with-jon-stewart-burn-noticed
Todd Young,"$286,115",http://interactives.americanprogressaction.org.s3.amazonaws.com/interactives/climateDeniers/headshots/Todd_Young.jpg,"During his first campaign, Young said he strongly opposed cap and trade and other unilateral measures to combat global warming and that he was uncertain what is causing the observed heating of the planet, adding that it could be caused by sunspots or the normal cycles of nature. “The science is not settled,” he said in an interview with the New York Times. According to the Times, “he said that given the scientific uncertainty, it was not wise to make major changes in the nation’s energy economy to reduce carbon emissions.”",IN,waxbtxlui,"New York Times, 10/20/10",http://www.nytimes.com/2010/10/21/us/politics/21climate.html?_r=3&
