,name/first,name/middle,name/last,name/official_full,name/nickname,name/suffix,bio/birthday,bio/gender,id/ballotpedia,id/wikipedia,terms/0/address,terms/0/class,terms/0/contact_form,terms/0/district,terms/0/end,terms/0/fax,terms/0/office,terms/0/party,terms/0/phone,terms/0/rss_url,terms/0/start,terms/0/state,terms/0/state_rank,terms/0/type,terms/0/url,terms/1/address,terms/1/class,terms/1/contact_form,terms/1/district,terms/1/end,terms/1/fax,terms/1/office,terms/1/party,terms/1/phone,terms/1/rss_url,terms/1/start,terms/1/state,terms/1/state_rank,terms/1/type,terms/1/url,terms/2/address,terms/2/class,terms/2/contact_form,terms/2/district,terms/2/end,terms/2/fax,terms/2/office,terms/2/party,terms/2/phone,terms/2/rss_url,terms/2/start,terms/2/state,terms/2/state_rank,terms/2/type,terms/2/url,terms/3/address,terms/3/class,terms/3/contact_form,terms/3/district,terms/3/end,terms/3/fax,terms/3/office,terms/3/party,terms/3/phone,terms/3/rss_url,terms/3/start,terms/3/state,terms/3/state_rank,terms/3/type,terms/3/url,terms/4/address,terms/4/class,terms/4/contact_form,terms/4/district,terms/4/end,terms/4/fax,terms/4/office,terms/4/party,terms/4/phone,terms/4/rss_url,terms/4/start,terms/4/state,terms/4/state_rank,terms/4/type,terms/4/url,terms/5/address,terms/5/class,terms/5/contact_form,terms/5/district,terms/5/end,terms/5/fax,terms/5/office,terms/5/party,terms/5/phone,terms/5/rss_url,terms/5/start,terms/5/state,terms/5/state_rank,terms/5/type,terms/5/url,terms/6/address,terms/6/class,terms/6/contact_form,terms/6/district,terms/6/end,terms/6/fax,terms/6/office,terms/6/party,terms/6/phone,terms/6/rss_url,terms/6/start,terms/6/state,terms/6/state_rank,terms/6/type,terms/6/url,terms/7/address,terms/7/class,terms/7/contact_form,terms/7/district,terms/7/end,terms/7/fax,terms/7/office,terms/7/party,terms/7/phone,terms/7/rss_url,terms/7/start,terms/7/state,terms/7/state_rank,terms/7/type,terms/7/url,terms/8/address,terms/8/class,terms/8/contact_form,terms/8/district,terms/8/end,terms/8/fax,terms/8/office,terms/8/party,terms/8/phone,terms/8/rss_url,terms/8/start,terms/8/state,terms/8/state_rank,terms/8/type,terms/8/url,terms/9/address,terms/9/caucus,terms/9/class,terms/9/contact_form,terms/9/district,terms/9/end,terms/9/fax,terms/9/office,terms/9/party,terms/9/phone,terms/9/rss_url,terms/9/start,terms/9/state,terms/9/state_rank,terms/9/type,terms/9/url,terms/10/address,terms/10/class,terms/10/contact_form,terms/10/district,terms/10/end,terms/10/fax,terms/10/office,terms/10/party,terms/10/phone,terms/10/rss_url,terms/10/start,terms/10/state,terms/10/state_rank,terms/10/type,terms/10/url,terms/11/address,terms/11/class,terms/11/contact_form,terms/11/district,terms/11/end,terms/11/fax,terms/11/office,terms/11/party,terms/11/phone,terms/11/rss_url,terms/11/start,terms/11/state,terms/11/state_rank,terms/11/type,terms/11/url,terms/12/address,terms/12/contact_form,terms/12/district,terms/12/end,terms/12/fax,terms/12/office,terms/12/party,terms/12/phone,terms/12/rss_url,terms/12/start,terms/12/state,terms/12/type,terms/12/url,terms/13/address,terms/13/contact_form,terms/13/district,terms/13/end,terms/13/fax,terms/13/office,terms/13/party,terms/13/phone,terms/13/rss_url,terms/13/start,terms/13/state,terms/13/type,terms/13/url,terms/14/address,terms/14/contact_form,terms/14/district,terms/14/end,terms/14/fax,terms/14/office,terms/14/party,terms/14/phone,terms/14/rss_url,terms/14/start,terms/14/state,terms/14/type,terms/14/url,terms/15/address,terms/15/contact_form,terms/15/district,terms/15/end,terms/15/fax,terms/15/office,terms/15/party,terms/15/phone,terms/15/rss_url,terms/15/start,terms/15/state,terms/15/type,terms/15/url,terms/16/address,terms/16/contact_form,terms/16/district,terms/16/end,terms/16/fax,terms/16/office,terms/16/party,terms/16/phone,terms/16/rss_url,terms/16/start,terms/16/state,terms/16/type,terms/16/url,terms/17/address,terms/17/contact_form,terms/17/district,terms/17/end,terms/17/fax,terms/17/office,terms/17/party,terms/17/phone,terms/17/rss_url,terms/17/start,terms/17/state,terms/17/type,terms/17/url,terms/18/address,terms/18/contact_form,terms/18/district,terms/18/end,terms/18/fax,terms/18/office,terms/18/party,terms/18/phone,terms/18/rss_url,terms/18/start,terms/18/state,terms/18/type,terms/18/url,terms/19/address,terms/19/contact_form,terms/19/district,terms/19/end,terms/19/fax,terms/19/office,terms/19/party,terms/19/phone,terms/19/rss_url,terms/19/start,terms/19/state,terms/19/type,terms/19/url,terms/20/address,terms/20/class,terms/20/contact_form,terms/20/district,terms/20/end,terms/20/fax,terms/20/office,terms/20/party,terms/20/phone,terms/20/rss_url,terms/20/start,terms/20/state,terms/20/state_rank,terms/20/type,terms/20/url,terms/21/address,terms/21/class,terms/21/contact_form,terms/21/district,terms/21/end,terms/21/fax,terms/21/office,terms/21/party,terms/21/phone,terms/21/rss_url,terms/21/start,terms/21/state,terms/21/state_rank,terms/21/type,terms/21/url,terms/22/address,terms/22/contact_form,terms/22/district,terms/22/end,terms/22/fax,terms/22/office,terms/22/party,terms/22/phone,terms/22/rss_url,terms/22/start,terms/22/state,terms/22/type,terms/22/url,terms/23/address,terms/23/contact_form,terms/23/district,terms/23/end,terms/23/fax,terms/23/office,terms/23/party,terms/23/phone,terms/23/start,terms/23/state,terms/23/type,terms/23/url,terms/24/address,terms/24/contact_form,terms/24/district,terms/24/end,terms/24/fax,terms/24/office,terms/24/party,terms/24/phone,terms/24/rss_url,terms/24/start,terms/24/state,terms/24/type,terms/24/url,terms/25/address,terms/25/contact_form,terms/25/district,terms/25/end,terms/25/fax,terms/25/office,terms/25/party,terms/25/phone,terms/25/rss_url,terms/25/start,terms/25/state,terms/25/type,terms/25/url
120,Donna,F.,Edwards,Donna F. Edwards,,,6/28/58,F,,Donna Edwards,,,,4.0,1/3/09,,,Democrat,,,6/19/08,MD,,rep,http://donnaedwards.house.gov/,,,,4.0,1/3/11,,,Democrat,,,1/6/09,MD,,rep,http://donnaedwards.house.gov/,318 Cannon HOB; Washington DC 20515-2004,,http://www.house.gov/writerep,4.0,1/3/13,202-225-8714,318 Cannon House Office Building,Democrat,202-225-8699,,1/5/11,MD,,rep,http://donnaedwards.house.gov/,2445 Rayburn HOB; Washington DC 20515-2004,,https://forms.house.gov/formdonnaedwards/issue_subscribe.shtml,4.0,1/3/15,202-225-8714,2445 Rayburn House Office Building,Democrat,202-225-8699,http://www.house.gov/common/rss/?rss=24,1/3/13,MD,,rep,http://donnaedwards.house.gov,2445 Rayburn HOB; Washington DC 20515-2004,,https://forms.house.gov/formdonnaedwards/issue_subscribe.shtml,4.0,1/3/17,202-225-8714,2445 Rayburn House Office Building,Democrat,202-225-8699,http://www.house.gov/common/rss/?rss=24,1/6/15,MD,,rep,http://donnaedwards.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Keith,Maurice,Ellison,Keith Ellison,,,8/4/63,M,Keith Ellison,Keith Ellison,,,,5.0,1/3/09,,,Democrat,,,1/4/07,MN,,rep,http://ellison.house.gov,,,,5.0,1/3/11,,,Democrat,,,1/6/09,MN,,rep,http://ellison.house.gov,1027 Longworth HOB; Washington DC 20515-2305,,http://ellison.house.gov/index.php?option=com_content&amp;task=view&amp;id=87,5.0,1/3/13,202-225-4886,1027 Longworth House Office Building,Democrat,202-225-4755,,1/5/11,MN,,rep,http://ellison.house.gov,2244 Rayburn HOB; Washington DC 20515-2305,,http://ellison.house.gov/contact,5.0,1/3/15,202-225-4886,2244 Rayburn House Office Building,Democrat,202-225-4755,http://ellison.house.gov/index.php?format=feed&amp;type=rss,1/3/13,MN,,rep,http://ellison.house.gov,2263 Rayburn HOB; Washington DC 20515-2305,,http://ellison.house.gov/contact,5.0,1/3/17,202-225-4886,2263 Rayburn House Office Building,Democrat,202-225-4755,http://ellison.house.gov/index.php?format=feed&amp;type=rss,1/6/15,MN,,rep,http://ellison.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Renee,L.,Ellmers,Renee L. Ellmers,,,2/9/64,F,Renee Ellmers,Renee Ellmers,1533 Longworth HOB; Washington DC 20515-3302,,,2.0,1/3/13,202- 225-5662,1533 Longworth House Office Building,Republican,202-225-4531,,1/5/11,NC,,rep,http://ellmers.house.gov/,426 Cannon HOB; Washington DC 20515-3302,,https://ellmersforms.house.gov/contact-us1,2.0,1/3/15,202- 225-5662,426 Cannon House Office Building,Republican,202-225-4531,http://ellmers.house.gov/common/rss//index.cfm?rss=49,1/3/13,NC,,rep,http://ellmers.house.gov,1210 Longworth HOB; Washington DC 20515-3302,,https://ellmersforms.house.gov/contact-us1,2.0,1/3/17,202- 225-5662,1210 Longworth House Office Building,Republican,202-225-4531,http://ellmers.house.gov/common/rss//index.cfm?rss=49,1/6/15,NC,,rep,http://ellmers.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Eliot,L.,Engel,Eliot L. Engel,,,2/18/47,M,,Eliot Engel,,,,19.0,1/3/91,,,Democrat,,,1/3/89,NY,,rep,,,,,19.0,1/3/93,,,Democrat,,,1/3/91,NY,,rep,,,,,17.0,1/3/95,,,Democrat,,,1/5/93,NY,,rep,,,,,17.0,1/3/97,,,Democrat,,,1/4/95,NY,,rep,,,,,17.0,1/3/99,,,Democrat,,,1/7/97,NY,,rep,,,,,17.0,1/3/01,,,Democrat,,,1/6/99,NY,,rep,,,,,17.0,1/3/03,,,Democrat,,,1/3/01,NY,,rep,,,,,17.0,1/3/05,,,Democrat,,,1/7/03,NY,,rep,http://www.house.gov/engel,,,,17.0,1/3/07,,,Democrat,,,1/4/05,NY,,rep,http://www.house.gov/engel,,,,,17.0,1/3/09,,,Democrat,,,1/4/07,NY,,rep,http://www.house.gov/engel,,,,17.0,1/3/11,,,Democrat,,,1/6/09,NY,,rep,http://www.house.gov/engel,2161 Rayburn HOB; Washington DC 20515-3217,,http://www.house.gov/writerep,17.0,1/3/13,202-225-5513,2161 Rayburn House Office Building,Democrat,202-225-2464,,1/5/11,NY,,rep,http://www.house.gov/engel,2161 Rayburn HOB; Washington DC 20515-3216,https://engel.house.gov/write-your-rep1,16.0,1/3/15,202-225-5513,2161 Rayburn House Office Building,Democrat,202-225-2464,,1/3/13,NY,rep,http://engel.house.gov,2462 Rayburn HOB; Washington DC 20515-3216,https://engel.house.gov/write-your-rep1,16.0,1/3/17,202-225-5513,2462 Rayburn House Office Building,Democrat,202-225-2464,,1/6/15,NY,rep,http://engel.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Anna,G.,Eshoo,Anna G. Eshoo,,,12/13/42,F,,Anna Eshoo,,,,14.0,1/3/95,,,Democrat,,,1/5/93,CA,,rep,,,,,14.0,1/3/97,,,Democrat,,,1/4/95,CA,,rep,,,,,14.0,1/3/99,,,Democrat,,,1/7/97,CA,,rep,,,,,14.0,1/3/01,,,Democrat,,,1/6/99,CA,,rep,,,,,14.0,1/3/03,,,Democrat,,,1/3/01,CA,,rep,,,,,14.0,1/3/05,,,Democrat,,,1/7/03,CA,,rep,http://www-eshoo.house.gov,,,,14.0,1/3/07,,,Democrat,,,1/4/05,CA,,rep,http://www-eshoo.house.gov,,,,14.0,1/3/09,,,Democrat,,,1/4/07,CA,,rep,http://eshoo.house.gov,,,,14.0,1/3/11,,,Democrat,,,1/6/09,CA,,rep,http://eshoo.house.gov,205 Cannon HOB; Washington DC 20515-0514,,,https://forms.house.gov/eshoo/webforms/issue_subscribe.htm,14.0,1/3/13,202-225-8890,205 Cannon House Office Building,Democrat,202-225-8104,,1/5/11,CA,,rep,http://eshoo.house.gov,241 Cannon HOB; Washington DC 20515-0518,,https://eshoo.house.gov/email-me/,18.0,1/3/15,202-225-8890,241 Cannon House Office Building,Democrat,202-225-8104,http://eshoo.house.gov/index.php?format=feed&amp;type=rss,1/3/13,CA,,rep,http://eshoo.house.gov,241 Cannon HOB; Washington DC 20515-0518,,https://eshoo.house.gov/email-me/,18.0,1/3/17,202-225-8890,241 Cannon House Office Building,Democrat,202-225-8104,http://eshoo.house.gov/index.php?format=feed&amp;type=rss,1/6/15,CA,,rep,http://eshoo.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Blake,,Farenthold,Blake Farenthold,,,12/12/61,M,Blake Farenthold,Blake Farenthold,2110 Rayburn HOB; Washington DC 20515-4327,,,27.0,1/3/13,202-226-1134,2110 Rayburn House Office Building,Republican,202-225-7742,,1/5/11,TX,,rep,http://farenthold.house.gov/,117 Cannon HOB; Washington DC 20515-4327,,http://farentholdforms.house.gov/contact/email.htm,27.0,1/3/15,202-226-1134,117 Cannon House Office Building,Republican,202-225-7742,http://farenthold.house.gov/index.php?format=feed&amp;type=rss,1/3/13,TX,,rep,http://farenthold.house.gov,1027 Longworth HOB; Washington DC 20515-4327,,http://farentholdforms.house.gov/contact/email.htm,27.0,1/3/17,202-226-1134,1027 Longworth House Office Building,Republican,202-225-7742,http://farenthold.house.gov/index.php?format=feed&amp;type=rss,1/6/15,TX,,rep,http://farenthold.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Sam,,Farr,Sam Farr,,,7/4/41,M,,Sam Farr,,,,17.0,1/3/95,,,Democrat,,,6/8/93,CA,,rep,,,,,17.0,1/3/97,,,Democrat,,,1/4/95,CA,,rep,,,,,17.0,1/3/99,,,Democrat,,,1/7/97,CA,,rep,,,,,17.0,1/3/01,,,Democrat,,,1/6/99,CA,,rep,,,,,17.0,1/3/03,,,Democrat,,,1/3/01,CA,,rep,,,,,17.0,1/3/05,,,Democrat,,,1/7/03,CA,,rep,http://www.house.gov/farr,,,,17.0,1/3/07,,,Democrat,,,1/4/05,CA,,rep,http://www.house.gov/farr,,,,17.0,1/3/09,,,Democrat,,,1/4/07,CA,,rep,http://www.house.gov/farr,,,,17.0,1/3/11,,,Democrat,,,1/6/09,CA,,rep,http://www.house.gov/farr,1126 Longworth HOB; Washington DC 20515-0517,,,http://www.farr.house.gov/index.php?option=com_content&amp;task=view&amp;id=202,17.0,1/3/13,202-225-6791,1126 Longworth House Office Building,Democrat,202-225-2861,,1/5/11,CA,,rep,http://www.house.gov/farr,1126 Longworth HOB; Washington DC 20515-0520,,https://forms.house.gov/farr/webforms/issue_subscribe.html,20.0,1/3/15,202-225-6791,1126 Longworth House Office Building,Democrat,202-225-2861,http://www.farr.house.gov/index.php?format=feed&amp;type=rss,1/3/13,CA,,rep,http://www.farr.house.gov,1126 Longworth HOB; Washington DC 20515-0520,,https://forms.house.gov/farr/webforms/issue_subscribe.html,20.0,1/3/17,202-225-6791,1126 Longworth House Office Building,Democrat,202-225-2861,http://www.farr.house.gov/index.php?format=feed&amp;type=rss,1/6/15,CA,,rep,http://farr.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Stephen,Lee,Fincher,Stephen Lee Fincher,,,2/7/73,M,,Stephen Fincher,1118 Longworth HOB; Washington DC 20515-4208,,,8.0,1/3/13,202-225-1765,1118 Longworth House Office Building,Republican,202-225-4714,,1/5/11,TN,,rep,http://fincher.house.gov/,1118 Longworth HOB; Washington DC 20515-4208,,https://fincher.house.gov/contact/email-me#.U06uR_ldWVo,8.0,1/3/15,202-225-1765,1118 Longworth House Office Building,Republican,202-225-4714,http://fincher.house.gov/rss.xml,1/3/13,TN,,rep,http://fincher.house.gov,2452 Rayburn HOB; Washington DC 20515-4208,,https://fincher.house.gov/contact/email-me#.U06uR_ldWVo,8.0,1/3/17,202-225-1765,2452 Rayburn House Office Building,Republican,202-225-4714,http://fincher.house.gov/rss.xml,1/6/15,TN,,rep,http://fincher.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Michael,G.,Fitzpatrick,Michael G. Fitzpatrick,,,6/28/63,M,,Mike Fitzpatrick,,,,8.0,1/3/07,,,Republican,,,1/4/05,PA,,rep,,1224 Longworth HOB; Washington DC 20515-3808,,,8.0,1/3/13,202- 225-9511,1224 Longworth House Office Building,Republican,202-225-4276,,1/5/11,PA,,rep,http://fitzpatrick.house.gov/,2400 Rayburn HOB; Washington DC 20515-3808,,https://fitzpatrick.house.gov/contact-me/email-me,8.0,1/3/15,202- 225-9511,2400 Rayburn House Office Building,Republican,202-225-4276,http://fitzpatrick.house.gov/rss.xml,1/3/13,PA,,rep,http://fitzpatrick.house.gov,2400 Rayburn HOB; Washington DC 20515-3808,,https://fitzpatrick.house.gov/contact-me/email-me,8.0,1/3/17,202- 225-9511,2400 Rayburn House Office Building,Republican,202-225-4276,http://fitzpatrick.house.gov/rss.xml,1/6/15,PA,,rep,http://fitzpatrick.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Jeff,,Flake,Jeff Flake,,,12/31/62,M,Jeff Flake,Jeff Flake,,,,1.0,1/3/03,,,Republican,,,1/3/01,AZ,,rep,,,,,6.0,1/3/05,,,Republican,,,1/7/03,AZ,,rep,http://www.house.gov/flake,,,,6.0,1/3/07,,,Republican,,,1/4/05,AZ,,rep,http://www.house.gov/flake,,,,6.0,1/3/09,,,Republican,,,1/4/07,AZ,,rep,http://flake.house.gov,,,,6.0,1/3/11,,,Republican,,,1/6/09,AZ,,rep,http://flake.house.gov,240 Cannon HOB; Washington DC 20515-0306,,http://www.house.gov/writerep,6.0,1/3/13,202-226-4386,240 Cannon House Office Building,Republican,202-225-2635,,1/5/11,AZ,,rep,http://flake.house.gov,413 Russell Senate Office Building Washington DC 20510,1.0,http://www.flake.senate.gov/contact.cfm,,1/3/19,202-226-4386,413 Russell Senate Office Building,Republican,202-224-4521,http://www.flake.senate.gov/public/index.cfm/rss/feed,1/3/13,AZ,junior,sen,http://www.flake.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Charles,J.,Fleischmann,"Charles J. ""Chuck"" Fleischmann",Chuck,,10/11/62,M,,Chuck Fleischmann,511 Cannon HOB; Washington DC 20515-4203,,,3.0,1/3/13,202-225-3494,511 Cannon House Office Building,Republican,202-225-3271,,1/5/11,TN,,rep,http://fleischmann.house.gov/,230 Cannon HOB; Washington DC 20515-4203,,https://fleischmann.house.gov/contact-me/email-me,3.0,1/3/15,202-225-3494,230 Cannon House Office Building,Republican,202-225-3271,http://fleischmann.house.gov/rss.xml,1/3/13,TN,,rep,http://fleischmann.house.gov,230 Cannon HOB; Washington DC 20515-4203,,https://fleischmann.house.gov/contact-me/email-me,3.0,1/3/17,202-225-3494,230 Cannon House Office Building,Republican,202-225-3271,http://fleischmann.house.gov/rss.xml,1/6/15,TN,,rep,http://fleischmann.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,John,,Fleming,John Fleming,,,7/5/51,M,John Fleming (Louisiana),John Fleming (American politician),,,,4.0,1/3/11,,,Republican,,,1/6/09,LA,,rep,http://fleming.house.gov,416 Cannon HOB; Washington DC 20515-1804,,https://forms.house.gov/fleming/contact-form.shtml,4.0,1/3/13,202-225-8039,416 Cannon House Office Building,Republican,202-225-2777,,1/5/11,LA,,rep,http://fleming.house.gov,416 Cannon HOB; Washington DC 20515-1804,,https://fleming.house.gov/contact/contactform.htm,4.0,1/3/15,202-225-8039,416 Cannon House Office Building,Republican,202-225-2777,http://fleming.house.gov/news/rss.aspx,1/3/13,LA,,rep,http://fleming.house.gov,2182 Rayburn HOB; Washington DC 20515-1804,,https://fleming.house.gov/contact/contactform.htm,4.0,1/3/17,202-225-8039,2182 Rayburn House Office Building,Republican,202-225-2777,http://fleming.house.gov/news/rss.aspx,1/6/15,LA,,rep,http://fleming.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Bill,,Flores,Bill Flores,,,2/25/54,M,,Bill Flores,1505 Longworth HOB; Washington DC 20515-4317,,,17.0,1/3/13,202-225-0350,1505 Longworth House Office Building,Republican,202-225-6105,,1/5/11,TX,,rep,http://flores.house.gov/,1030 Longworth HOB; Washington DC 20515-4317,,https://billflores.house.gov/contact/,17.0,1/3/15,202-225-0350,1030 Longworth House Office Building,Republican,202-225-6105,http://flores.house.gov/common/rss//index.cfm?rss=25,1/3/13,TX,,rep,http://flores.house.gov,1030 Longworth HOB; Washington DC 20515-4317,,https://billflores.house.gov/contact/,17.0,1/3/17,202-225-0350,1030 Longworth House Office Building,Republican,202-225-6105,http://flores.house.gov/common/rss//index.cfm?rss=25,1/6/15,TX,,rep,http://flores.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
