Representative,State,District,BirthDate,DateInOffice,AgeAtTakingOfficeYear,AgeAtTakingOfficeDay,YearsInOffice,Party,BelieveClimateChange,CurrentAge,NotableQuote,YearNextElection,114Member,115Member,ProportionOfConstituentsWhoBelieveInClimateChange,PercentMarginOfSenateWin,PercentMarginOfPresidentialCandidateVictory
Dutch Ruppersberger,Maryland,2.,,,,,,Democratic,,,,,,,,,
John Sarbanes,Maryland,3.,,,,,,Democratic,,,,,,,,,
Donna Edwards,Maryland,4.,,,,,,Democratic,,,,,,,,,
Steny Hoyer,Maryland,5.,,,,,,Democratic,,,,,,,,,
John Delaney,Maryland,6.,,,,,,Democratic,,,,,,,,,
Elijah Cummings,Maryland,7.,,,,,,Democratic,,,,,,,,,
Chris Van Hollen,Maryland,8.,,,,,,Democratic,,,,,,,,,
Richard Neal,Massachusetts,1.,,,,,,Democratic,,,,,,,,,
Jim McGovern,Massachusetts,2.,,,,,,Democratic,,,,,,,,,
Niki Tsongas,Massachusetts,3.,,,,,,Democratic,,,,,,,,,
Joe Kennedy,Massachusetts,4.,,,,,,Democratic,,,,,,,,,
Katherine Clark,Massachusetts,5.,,,,,,Democratic,,,,,,,,,
Seth Moulton,Massachusetts,6.,,,,,,Democratic,,,,,,,,,
Mike Capuano,Massachusetts,7.,,,,,,Democratic,,,,,,,,,
Stephen Lynch,Massachusetts,8.,,,,,,Democratic,,,,,,,,,
Bill Keating,Massachusetts,9.,,,,,,Democratic,,,,,,,,,
Dan Benishek,Michigan,1.,,,,,,Republican,,,,,,,,,
Bill Huizenga,Michigan,2.,,,,,,Republican,,,,,,,,,
Justin Amash,Michigan,3.,,,,,,Republican,,,,,,,,,
John Moolenaar,Michigan,4.,,,,,,Republican,,,,,,,,,
Dan Kildee,Michigan,5.,,,,,,Democratic,,,,,,,,,
Fred Upton,Michigan,6.,,,,,,Republican,,,,,,,,,
Tim Walberg,Michigan,7.,,,,,,Republican,,,,,,,,,
Mike Bishop,Michigan,8.,,,,,,Republican,,,,,,,,,
Sander Levin,Michigan,9.,,,,,,Democratic,,,,,,,,,
Candice Miller,Michigan,10.,,,,,,Republican,,,,,,,,,
Dave Trott,Michigan,11.,,,,,,Republican,,,,,,,,,
Debbie Dingell,Michigan,12.,,,,,,Democratic,,,,,,,,,
John Conyers,Michigan,13.,,,,,,Democratic,,,,,,,,,
Brenda Lawrence,Michigan,14.,,,,,,Democratic,,,,,,,,,
Tim Walz,Minnesota,1.,,,,,,Democratic,,,,,,,,,
John Kline,Minnesota,2.,,,,,,Republican,,,,,,,,,
Erik Paulsen,Minnesota,3.,,,,,,Republican,,,,,,,,,
Betty McCollum,Minnesota,4.,,,,,,Democratic,,,,,,,,,
Keith Ellison,Minnesota,5.,,,,,,Democratic,,,,,,,,,
Tom Emmer,Minnesota,6.,,,,,,Republican,,,,,,,,,
Collin Peterson,Minnesota,7.,,,,,,Democratic,,,,,,,,,
Rick Nolan,Minnesota,8.,,,,,,Democratic,,,,,,,,,
Trent Kelly,Mississippi,1.,,,,,,Republican,,,,,,,,,
Bennie Thompson,Mississippi,2.,,,,,,Democratic,,,,,,,,,
Gregg Harper,Mississippi,3.,,,,,,Republican,,,,,,,,,
Steven Palazzo,Mississippi,4.,,,,,,Republican,,,,,,,,,
Lacy Clay,Missouri,1.,,,,,,Democratic,,,,,,,,,
Ann Wagner,Missouri,2.,,,,,,Republican,,,,,,,,,
Blaine Luetkemeyer,Missouri,3.,,,,,,Republican,,,,,,,,,
Vicky Hartzler,Missouri,4.,,,,,,Republican,,,,,,,,,
Emanuel Cleaver,Missouri,5.,,,,,,Democratic,,,,,,,,,
Sam Graves,Missouri,6.,,,,,,Republican,,,,,,,,,
Billy Long,Missouri,7.,,,,,,Republican,,,,,,,,,
Jason Smith,Missouri,8.,,,,,,Republican,,,,,,,,,
Ryan Zinke,Montana,At-large,1.,,,,,Republican,,,,,,,,,
Jeff Fortenberry,Nebraska,1.,,,,,,Republican,,,,,,,,,
Brad Ashford,Nebraska,2.,,,,,,Democratic,,,,,,,,,
Adrian Smith,Nebraska,3.,,,,,,Republican,,,,,,,,,
Dina Titus,Nevada,1.,,,,,,Democratic,,,,,,,,,
Mark Amodei,Nevada,2.,,,,,,Republican,,,,,,,,,
Joe Heck,Nevada,3.,,,,,,Republican,,,,,,,,,
Cresent Hardy,Nevada,4.,,,,,,Republican,,,,,,,,,
Frank Guinta,New Hampshire,1.,,,,,,Republican,,,,,,,,,
Ann McLane Kuster,New Hampshire,2.,,,,,,Democratic,,,,,,,,,
Donald Norcross,New Jersey,1.,,,,,,Democratic,,,,,,,,,
Frank LoBiondo,New Jersey,2.,,,,,,Republican,,,,,,,,,
Tom MacArthur,New Jersey,3.,,,,,,Republican,,,,,,,,,
Chris Smith,New Jersey,4.,,,,,,Republican,,,,,,,,,
Scott Garrett,New Jersey,5.,,,,,,Republican,,,,,,,,,
Frank Pallone,New Jersey,6.,,,,,,Democratic,,,,,,,,,
Leonard Lance,New Jersey,7.,,,,,,Republican,,,,,,,,,
Albio Sires,New Jersey,8.,,,,,,Democratic,,,,,,,,,
Bill Pascrell,New Jersey,9.,,,,,,Democratic,,,,,,,,,
. Donald Payne, Jr.",New Jersey,"1,,,,,,Democratic,,,,,,,,,
Rodney Frelinghuysen,New Jersey,11.,,,,,,Republican,,,,,,,,,
Bonnie Watson Coleman,New Jersey,12.,,,,,,Democratic,,,,,,,,,
Michelle Lujan Grisham,New Mexico,1.,,,,,,Democratic,,,,,,,,,
Steve Pearce,New Mexico,2.,,,,,,Republican,,,,,,,,,
Ben Ray Luján,New Mexico,3.,,,,,,Democratic,,,,,,,,,
Lee Zeldin,New York,1.,,,,,,Republican,,,,,,,,,
Peter King,New York,2.,,,,,,Republican,,,,,,,,,
Steve Israel,New York,3.,,,,,,Democratic,,,,,,,,,
Kathleen Rice,New York,4.,,,,,,Democratic,,,,,,,,,
Gregory Meeks,New York,5.,,,,,,Democratic,,,,,,,,,
Grace Meng,New York,6.,,,,,,Democratic,,,,,,,,,
Nydia Velázquez,New York,7.,,,,,,Democratic,,,,,,,,,
Hakeem Jeffries,New York,8.,,,,,,Democratic,,,,,,,,,
Yvette Clarke,New York,9.,,,,,,Democratic,,,,,,,,,
Jerrold Nadler,New York,10.,,,,,,Democratic,,,,,,,,,
Daniel Donovan,New York,11.,,,,,,Republican,,,,,,,,,
Carolyn Maloney,New York,12.,,,,,,Democratic,,,,,,,,,
Charles Rangel,New York,13.,,,,,,Democratic,,,,,,,,,
Joseph Crowley,New York,14.,,,,,,Democratic,,,,,,,,,
José E. Serrano,New York,15.,,,,,,Democratic,,,,,,,,,
Eliot Engel,New York,16.,,,,,,Democratic,,,,,,,,,
Nita Lowey,New York,17.,,,,,,Democratic,,,,,,,,,
Sean Patrick Maloney,New York,18.,,,,,,Democratic,,,,,,,,,
Chris Gibson,New York,19.,,,,,,Republican,,,,,,,,,
Paul Tonko,New York,20.,,,,,,Democratic,,,,,,,,,
Elise Stefanik,New York,21.,,,,,,Republican,,,,,,,,,
Richard Hanna,New York,22.,,,,,,Republican,,,,,,,,,
Thomas Reed,New York,23.,,,,,,Republican,,,,,,,,,
John Katko,New York,24.,,,,,,Republican,,,,,,,,,
Louise Slaughter,New York,25.,,,,,,Democratic,,,,,,,,,
Brian Higgins,New York,26.,,,,,,Democratic,,,,,,,,,
Chris Collins,New York,27.,,,,,,Republican,,,,,,,,,
G. K. Butterfield,North Carolina,1.,,,,,,Democratic,,,,,,,,,
Renee Ellmers,North Carolina,2.,,,,,,Republican,,,,,,,,,
Walter Jones,North Carolina,3.,,,,,,Republican,,,,,,,,,
David Price,North Carolina,4.,,,,,,Democratic,,,,,,,,,
Virginia Foxx,North Carolina,5.,,,,,,Republican,,,,,,,,,
Mark Walker,North Carolina,6.,,,,,,Republican,,,,,,,,,
David Rouzer,North Carolina,7.,,,,,,Republican,,,,,,,,,
Richard Hudson,North Carolina,8.,,,,,,Republican,,,,,,,,,
Robert Pittenger,North Carolina,9.,,,,,,Republican,,,,,,,,,
Patrick McHenry,North Carolina,10.,,,,,,Republican,,,,,,,,,
Mark Meadows,North Carolina,11.,,,,,,Republican,,,,,,,,,
Alma Adams,North Carolina,12.,,,,,,Democratic,,,,,,,,,
George Holding,North Carolina,13.,,,,,,Republican,,,,,,,,,
Kevin Cramer,North Dakota,At-large,1.,,,,,Republican,,,,,,,,,
Steve Chabot,Ohio,1.,,,,,,Republican,,,,,,,,,
Brad Wenstrup,Ohio,2.,,,,,,Republican,,,,,,,,,
Joyce Beatty,Ohio,3.,,,,,,Democratic,,,,,,,,,
Jim Jordan,Ohio,4.,,,,,,Republican,,,,,,,,,
Bob Latta,Ohio,5.,,,,,,Republican,,,,,,,,,
Bill Johnson,Ohio,6.,,,,,,Republican,,,,,,,,,
Bob Gibbs,Ohio,7.,,,,,,Republican,,,,,,,,,
Warren Davidson,Ohio,8.,,,,,,Republican,,,,,,,,,
Marcy Kaptur,Ohio,9.,,,,,,Democratic,,,,,,,,,
Mike Turner,Ohio,10.,,,,,,Republican,,,,,,,,,
Marcia Fudge,Ohio,11.,,,,,,Democratic,,,,,,,,,
Pat Tiberi,Ohio,12.,,,,,,Republican,,,,,,,,,
Tim Ryan,Ohio,13.,,,,,,Democratic,,,,,,,,,
David Joyce,Ohio,14.,,,,,,Republican,,,,,,,,,
Steve Stivers,Ohio,15.,,,,,,Republican,,,,,,,,,
Jim Renacci,Ohio,16.,,,,,,Republican,,,,,,,,,
Jim Bridenstine,Oklahoma,1.,,,,,,Republican,,,,,,,,,
Markwayne Mullin,Oklahoma,2.,,,,,,Republican,,,,,,,,,
Frank Lucas,Oklahoma,3.,,,,,,Republican,,,,,,,,,
Tom Cole,Oklahoma,4.,,,,,,Republican,,,,,,,,,
Steve Russell,Oklahoma,5.,,,,,,Republican,,,,,,,,,
Suzanne Bonamici,Oregon,1.,,,,,,Democratic,,,,,,,,,
Greg Walden,Oregon,2.,,,,,,Republican,,,,,,,,,
Earl Blumenauer,Oregon,3.,,,,,,Democratic,,,,,,,,,
Peter DeFazio,Oregon,4.,,,,,,Democratic,,,,,,,,,
Kurt Schrader,Oregon,5.,,,,,,Democratic,,,,,,,,,
Bob Brady,Pennsylvania,1.,,,,,,Democratic,,,,,,,,,
Dwight Evans,Pennsylvania,2.,,,,,,Democratic,,,,,,,,,
Mike Kelly,Pennsylvania,3.,,,,,,Republican,,,,,,,,,
Scott Perry,Pennsylvania,4.,,,,,,Republican,,,,,,,,,
Glenn Thompson,Pennsylvania,5.,,,,,,Republican,,,,,,,,,
Ryan Costello,Pennsylvania,6.,,,,,,Republican,,,,,,,,,
Pat Meehan,Pennsylvania,7.,,,,,,Republican,,,,,,,,,
Mike Fitzpatrick,Pennsylvania,8.,,,,,,Republican,,,,,,,,,
Bill Shuster,Pennsylvania,9.,,,,,,Republican,,,,,,,,,
Tom Marino,Pennsylvania,10.,,,,,,Republican,,,,,,,,,
Lou Barletta,Pennsylvania,11.,,,,,,Republican,,,,,,,,,
Keith Rothfus,Pennsylvania,12.,,,,,,Republican,,,,,,,,,
Brendan Boyle,Pennsylvania,13.,,,,,,Democratic,,,,,,,,,
Michael Doyle,Pennsylvania,14.,,,,,,Democratic,,,,,,,,,
Charles Dent,Pennsylvania,15.,,,,,,Republican,,,,,,,,,
Joe Pitts,Pennsylvania,16.,,,,,,Republican,,,,,,,,,
Matt Cartwright,Pennsylvania,17.,,,,,,Democratic,,,,,,,,,
Tim Murphy,Pennsylvania,18.,,,,,,Republican,,,,,,,,,
David Cicilline,Rhode Island,1.,,,,,,Democratic,,,,,,,,,
James Langevin,Rhode Island,2.,,,,,,Democratic,,,,,,,,,
Mark Sanford,South Carolina,1.,,,,,,Republican,,,,,,,,,
Joe Wilson,South Carolina,2.,,,,,,Republican,,,,,,,,,
Jeff Duncan,South Carolina,3.,,,,,,Republican,,,,,,,,,
Trey Gowdy,South Carolina,4.,,,,,,Republican,,,,,,,,,
Mick Mulvaney,South Carolina,5.,,,,,,Republican,,,,,,,,,
Jim Clyburn,South Carolina,6.,,,,,,Democratic,,,,,,,,,
Tom Rice,South Carolina,7.,,,,,,Republican,,,,,,,,,
Kristi Noem,South Dakota,At-large,1.,,,,,Republican,,,,,,,,,
Phil Roe,Tennessee,1.,,,,,,Republican,,,,,,,,,
Jimmy Duncan,Tennessee,2.,,,,,,Republican,,,,,,,,,
Chuck Fleischmann,Tennessee,3.,,,,,,Republican,,,,,,,,,
Scott DesJarlais,Tennessee,4.,,,,,,Republican,,,,,,,,,
Jim Cooper,Tennessee,5.,,,,,,Democratic,,,,,,,,,
Diane Black,Tennessee,6.,,,,,,Republican,,,,,,,,,
Marsha Blackburn,Tennessee,7.,,,,,,Republican,,,,,,,,,
Stephen Fincher,Tennessee,8.,,,,,,Republican,,,,,,,,,
Steve Cohen,Tennessee,9.,,,,,,Democratic,,,,,,,,,
Louie Gohmert,Texas,1.,,,,,,Republican,,,,,,,,,
Ted Poe,Texas,2.,,,,,,Republican,,,,,,,,,
Sam Johnson,Texas,3.,,,,,,Republican,,,,,,,,,
John Ratcliffe,Texas,4.,,,,,,Republican,,,,,,,,,
Jeb Hensarling,Texas,5.,,,,,,Republican,,,,,,,,,
Joe Barton,Texas,6.,,,,,,Republican,,,,,,,,,
John Culberson,Texas,7.,,,,,,Republican,,,,,,,,,
Kevin Brady,Texas,8.,,,,,,Republican,,,,,,,,,
Al Green,Texas,9.,,,,,,Democratic,,,,,,,,,
Michael McCaul,Texas,10.,,,,,,Republican,,,,,,,,,
Mike Conaway,Texas,11.,,,,,,Republican,,,,,,,,,
Kay Granger,Texas,12.,,,,,,Republican,,,,,,,,,
Mac Thornberry,Texas,13.,,,,,,Republican,,,,,,,,,
Randy Weber,Texas,14.,,,,,,Republican,,,,,,,,,
Ruben Hinojosa,Texas,15.,,,,,,Democratic,,,,,,,,,
Beto O'Rourke,Texas,16.,,,,,,Democratic,,,,,,,,,
Bill Flores,Texas,17.,,,,,,Republican,,,,,,,,,
Sheila Jackson Lee,Texas,18.,,,,,,Democratic,,,,,,,,,
Randy Neugebauer,Texas,19.,,,,,,Republican,,,,,,,,,
Joaquin Castro,Texas,20.,,,,,,Democratic,,,,,,,,,
Lamar Smith,Texas,21.,,,,,,Republican,,,,,,,,,
Pete Olson,Texas,22.,,,,,,Republican,,,,,,,,,
Will Hurd,Texas,23.,,,,,,Republican,,,,,,,,,
Kenny Marchant,Texas,24.,,,,,,Republican,,,,,,,,,
Roger Williams,Texas,25.,,,,,,Republican,,,,,,,,,
Michael Burgess,Texas,26.,,,,,,Republican,,,,,,,,,
Blake Farenthold,Texas,27.,,,,,,Republican,,,,,,,,,
Henry Cuellar,Texas,28.,,,,,,Democratic,,,,,,,,,
Gene Green,Texas,29.,,,,,,Democratic,,,,,,,,,
Eddie Bernice Johnson,Texas,30.,,,,,,Democratic,,,,,,,,,
John Carter,Texas,31.,,,,,,Republican,,,,,,,,,
Pete Sessions,Texas,32.,,,,,,Republican,,,,,,,,,
Marc Veasey,Texas,33.,,,,,,Democratic,,,,,,,,,
Filemon Vela,Texas,34.,,,,,,Democratic,,,,,,,,,
Lloyd Doggett,Texas,35.,,,,,,Democratic,,,,,,,,,
Brian Babin,Texas,36.,,,,,,Republican,,,,,,,,,
Rob Bishop,Utah,1.,,,,,,Republican,,,,,,,,,
Chris Stewart,Utah,2.,,,,,,Republican,,,,,,,,,
Jason Chaffetz,Utah,3.,,,,,,Republican,,,,,,,,,
Mia Love,Utah,4.,,,,,,Republican,,,,,,,,,
