id/wikipedia,id/ballotpedia,name/first,name/last,name/official_full,bio/birthday,bio/gender,terms/0/type,terms/0/start,terms/0/end,terms/0/state,terms/0/district,terms/0/party,terms/1/type,terms/1/start,terms/1/end,terms/1/state,terms/1/district,terms/1/party,terms/2/type,terms/2/start,terms/2/end,terms/2/state,terms/2/district,terms/2/party,terms/3/type,terms/3/start,terms/3/end,terms/3/state,terms/3/district,terms/3/party,terms/4/type,terms/4/start,terms/4/end,terms/4/state,terms/4/district,terms/4/party,terms/5/type,terms/5/start,terms/5/end,terms/5/state,terms/5/district,terms/5/party,terms/5/url,terms/6/type,terms/6/start,terms/6/end,terms/6/state,terms/6/district,terms/6/party,terms/6/url,terms/7/type,terms/7/start,terms/7/end,terms/7/state,terms/7/class,terms/7/party,terms/7/url,terms/7/address,terms/7/phone,terms/7/fax,terms/7/contact_form,terms/7/office,terms/8/type,terms/8/start,terms/8/end,terms/8/state,terms/8/party,terms/8/class,terms/8/url,terms/8/address,terms/8/phone,terms/8/fax,terms/8/contact_form,terms/8/office,terms/8/state_rank,terms/8/rss_url,terms/1/class,terms/1/url,terms/2/class,terms/2/url,terms/2/address,terms/2/phone,terms/2/fax,terms/2/contact_form,terms/2/office,terms/3/class,terms/3/url,terms/3/address,terms/3/phone,terms/3/fax,terms/3/contact_form,terms/3/office,terms/3/state_rank,terms/3/rss_url,name/middle,terms/7/district,terms/8/district,terms/9/type,terms/9/start,terms/9/end,terms/9/state,terms/9/district,terms/9/party,terms/9/url,terms/10/type,terms/10/start,terms/10/end,terms/10/state,terms/10/class,terms/10/party,terms/10/url,terms/10/address,terms/10/phone,terms/10/fax,terms/10/contact_form,terms/10/office,terms/11/type,terms/11/start,terms/11/end,terms/11/state,terms/11/party,terms/11/class,terms/11/url,terms/11/address,terms/11/phone,terms/11/fax,terms/11/contact_form,terms/11/office,terms/11/state_rank,terms/11/rss_url,terms/5/class,terms/6/class,terms/6/address,terms/6/phone,terms/6/fax,terms/6/contact_form,terms/6/office,terms/7/state_rank,terms/7/rss_url,name/nickname,name/suffix,terms/0/class,terms/0/url,terms/0/address,terms/0/phone,terms/0/fax,terms/0/contact_form,terms/0/office,terms/1/address,terms/1/phone,terms/1/fax,terms/1/contact_form,terms/1/office,terms/1/state_rank,terms/1/rss_url,terms/4/class,terms/4/url,terms/4/address,terms/4/phone,terms/4/fax,terms/4/contact_form,terms/4/office,terms/4/state_rank,terms/4/rss_url,terms/5/address,terms/5/phone,terms/5/fax,terms/5/contact_form,terms/5/office,terms/6/state_rank,terms/6/rss_url,terms/9/class,terms/9/address,terms/9/phone,terms/9/fax,terms/9/contact_form,terms/9/office,terms/9/state_rank,terms/9/rss_url,terms/9/caucus,terms/2/state_rank,terms/2/rss_url,terms/10/state_rank,terms/10/rss_url,terms/5/state_rank,terms/5/rss_url,terms/0/state_rank,terms/0/rss_url,terms/10/district,terms/11/district,terms/12/type,terms/12/start,terms/12/end,terms/12/state,terms/12/district,terms/12/party,terms/12/url,terms/13/type,terms/13/start,terms/13/end,terms/13/state,terms/13/district,terms/13/party,terms/13/url,terms/13/address,terms/13/phone,terms/13/fax,terms/13/contact_form,terms/13/office,terms/14/type,terms/14/start,terms/14/end,terms/14/state,terms/14/party,terms/14/district,terms/14/url,terms/14/address,terms/14/phone,terms/14/fax,terms/14/contact_form,terms/14/office,terms/14/rss_url,terms/15/type,terms/15/start,terms/15/end,terms/15/state,terms/15/party,terms/15/district,terms/15/url,terms/15/address,terms/15/phone,terms/15/fax,terms/15/contact_form,terms/15/office,terms/15/rss_url,terms/16/type,terms/16/start,terms/16/end,terms/16/state,terms/16/district,terms/16/party,terms/17/type,terms/17/start,terms/17/end,terms/17/state,terms/17/district,terms/17/party,terms/18/type,terms/18/start,terms/18/end,terms/18/state,terms/18/district,terms/18/party,terms/19/type,terms/19/start,terms/19/end,terms/19/state,terms/19/district,terms/19/party,terms/19/url,terms/20/type,terms/20/start,terms/20/end,terms/20/state,terms/20/district,terms/20/party,terms/20/url,terms/21/type,terms/21/start,terms/21/end,terms/21/state,terms/21/district,terms/21/party,terms/21/url,terms/22/type,terms/22/start,terms/22/end,terms/22/state,terms/22/district,terms/22/party,terms/22/url,terms/23/type,terms/23/start,terms/23/end,terms/23/state,terms/23/district,terms/23/party,terms/23/url,terms/23/address,terms/23/phone,terms/23/fax,terms/23/contact_form,terms/23/office,terms/24/type,terms/24/start,terms/24/end,terms/24/state,terms/24/party,terms/24/district,terms/24/url,terms/24/address,terms/24/phone,terms/24/fax,terms/24/contact_form,terms/24/office,terms/24/rss_url,terms/25/type,terms/25/start,terms/25/end,terms/25/state,terms/25/party,terms/25/district,terms/25/url,terms/25/address,terms/25/phone,terms/25/fax,terms/25/contact_form,terms/25/office,terms/25/rss_url,terms/12/address,terms/12/phone,terms/12/fax,terms/12/contact_form,terms/12/office,terms/12/rss_url,terms/13/rss_url,terms/16/url,terms/16/address,terms/16/phone,terms/16/fax,terms/16/contact_form,terms/16/office,terms/16/rss_url,terms/17/url,terms/17/address,terms/17/phone,terms/17/fax,terms/17/contact_form,terms/17/office,terms/17/rss_url,terms/18/url,terms/18/address,terms/18/phone,terms/18/fax,terms/18/contact_form,terms/18/office,terms/19/address,terms/19/phone,terms/19/fax,terms/19/contact_form,terms/19/office,terms/19/rss_url,terms/20/class,terms/20/state_rank,terms/20/phone,terms/20/office,terms/20/address,terms/20/contact_form,terms/21/class,terms/21/state_rank,terms/21/phone,terms/21/office,terms/21/address,terms/21/contact_form,terms/20/fax,terms/21/fax,terms/21/rss_url,terms/22/address,terms/22/phone,terms/22/fax,terms/22/contact_form,terms/22/office,terms/22/rss_url,terms/18/rss_url,terms/20/rss_url
Steve Chabot,Steve Chabot,Steve,Chabot,Steve Chabot,1/22/53,M,rep,1/4/95,1/3/97,OH,1,Republican,rep,1/7/97,1/3/99,OH,1,Republican,rep,1/6/99,1/3/01,OH,1,Republican,rep,1/3/01,1/3/03,OH,1,Republican,rep,1/7/03,1/3/05,OH,1,Republican,rep,1/4/05,1/3/07,OH,1,Republican,http://www.house.gov/chabot,rep,1/4/07,1/3/09,OH,1,Republican,http://www.house.gov/chabot,rep,1/5/11,1/3/13,OH,,Republican,http://chabot.house.gov/,2351 Rayburn HOB; Washington DC 20515-3501,202-225-2216,202-225-3012,,2351 Rayburn House Office Building,rep,1/3/13,1/3/15,OH,Republican,,http://chabot.house.gov,2371 Rayburn HOB; Washington DC 20515-3501,202-225-2216,202-225-3012,https://chabot.house.gov/forms/writeyourrep/?zip5=45202&zip4=3003,2371 Rayburn House Office Building,,http://chabot.house.gov/common/rss/index.cfm?rss=49,,,,,,,,,,,,,,,,,,,J.,1,1,rep,1/6/15,1/3/17,OH,1,Republican,http://chabot.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/chabot,,,,,,,,,,,,,,,,2371 Rayburn HOB; Washington DC 20515-3501,202-225-2216,202-225-3012,https://chabot.house.gov/forms/writeyourrep/?zip5=45202&zip4=3003,2371 Rayburn House Office Building,,http://chabot.house.gov/common/rss/index.cfm?rss=49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Chaffetz,Jason Chaffetz,Jason,Chaffetz,Jason Chaffetz,3/26/67,M,rep,1/6/09,1/3/11,UT,3,Republican,rep,1/5/11,1/3/13,UT,3,Republican,rep,1/3/13,1/3/15,UT,3,Republican,rep,1/6/15,1/3/17,UT,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://chaffetz.house.gov,,http://chaffetz.house.gov,2464 Rayburn HOB; Washington DC 20515-4403,202-225-7751,202-225-5629,https://chaffetz.house.gov/contact-me/email-me,2464 Rayburn House Office Building,,http://chaffetz.house.gov,2236 Rayburn HOB; Washington DC 20515-4403,202-225-7751,202-225-5629,https://chaffetz.house.gov/contact-me/email-me,2236 Rayburn House Office Building,,http://chaffetz.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://chaffetz.house.gov,,,,,,1032 Longworth HOB; Washington DC 20515-4403,202-225-7751,202-225-5629,https://forms.house.gov/chaffetz/contact-form.shtml,1032 Longworth House Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://chaffetz.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judy Chu,,Judy,Chu,Judy Chu,7/7/53,F,rep,7/16/09,1/3/11,CA,32,Democrat,rep,1/5/11,1/3/13,CA,32,Democrat,rep,1/3/13,1/3/15,CA,27,Democrat,rep,1/6/15,1/3/17,CA,27,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://chu.house.gov/,,http://chu.house.gov,1520 Longworth HOB; Washington DC 20515-0527,202-225-5464,202-225-5467,http://chu.house.gov/connect-with-me/email-judy,1520 Longworth House Office Building,,http://chu.house.gov,2423 Rayburn HOB; Washington DC 20515-0527,202-225-5464,202-225-5467,http://chu.house.gov/connect-with-me/email-judy,2423 Rayburn House Office Building,,http://chu.house.gov/rss.xml,M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://chu.house.gov/,,,,,,1520 Longworth HOB; Washington DC 20515-0532,202-225-5464,202-225-5467,https://forms.house.gov/chu/contact-form.shtml,1520 Longworth House Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://chu.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Cicilline,David N. Cicilline,David,Cicilline,David N. Cicilline,7/15/61,M,rep,1/5/11,1/3/13,RI,1,Democrat,rep,1/3/13,1/3/15,RI,1,Democrat,rep,1/6/15,1/3/17,RI,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cicilline.house.gov,,http://cicilline.house.gov,2244 Rayburn HOB; Washington DC 20515-3901,202-225-4911,202- 225-3290,https://cicilline.house.gov/contact-me/email-me,2244 Rayburn House Office Building,,,,,,,,,,N.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cicilline.house.gov/,128 Cannon HOB; Washington DC 20515-3901,202-225-4911,202- 225-3290,,128 Cannon House Office Building,128 Cannon HOB; Washington DC 20515-3901,202-225-4911,202- 225-3290,https://cicilline.house.gov/contact-me/email-me,128 Cannon House Office Building,,http://cicilline.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cicilline.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yvette Clarke,Yvette D. Clarke,Yvette,Clarke,Yvette D. Clarke,11/21/64,F,rep,1/4/07,1/3/09,NY,11,Democrat,rep,1/6/09,1/3/11,NY,11,Democrat,rep,1/5/11,1/3/13,NY,11,Democrat,rep,1/3/13,1/3/15,NY,9,Democrat,rep,1/6/15,1/3/17,NY,9,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://clarke.house.gov,,http://clarke.house.gov,1029 Longworth HOB; Washington DC 20515-3211,202-225-6231,202-226-0112,http://clarke.house.gov/contactform_zipcheck.shtml,1029 Longworth House Office Building,,http://clarke.house.gov,2351 Rayburn HOB; Washington DC 20515-3209,202-225-6231,202-226-0112,https://clarke.house.gov/contact/email-me,2351 Rayburn House Office Building,,http://clarke.house.gov/news/rss.aspx,D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://clarke.house.gov,,,,,,,,,,,,,,http://clarke.house.gov,2351 Rayburn HOB; Washington DC 20515-3209,202-225-6231,202-226-0112,https://clarke.house.gov/contact/email-me,2351 Rayburn House Office Building,,http://clarke.house.gov/news/rss.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lacy Clay,,Wm.,Clay,Wm. Lacy Clay,7/27/56,M,rep,1/3/01,1/3/03,MO,1,Democrat,rep,1/7/03,1/3/05,MO,1,Democrat,rep,1/4/05,1/3/07,MO,1,Democrat,rep,1/4/07,1/3/09,MO,1,Democrat,rep,1/6/09,1/3/11,MO,1,Democrat,rep,1/5/11,1/3/13,MO,1,Democrat,http://www.house.gov/clay,rep,1/3/13,1/3/15,MO,1,Democrat,http://lacyclay.house.gov,rep,1/6/15,1/3/17,MO,,Democrat,http://lacyclay.house.gov,2428 Rayburn HOB; Washington DC 20515-2501,202-225-2406,202-226-3717,http://lacyclay.house.gov/contact-form/,2428 Rayburn House Office Building,,,,,,,,,,,,,,,,http://www.house.gov/clay,,http://www.house.gov/clay,,,,,,,http://www.house.gov/clay,,,,,,,,Lacy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418 Rayburn HOB; Washington DC 20515-2501,202-225-2406,202-226-3717,http://lacyclay.house.gov/contact-form/,2418 Rayburn House Office Building,,,,Jr.,,,,,,,,,,,,,,,,http://www.house.gov/clay,,,,,,,,2418 Rayburn HOB; Washington DC 20515-2501,202-225-2406,202-226-3717,http://lacyclay.house.gov/contact.htm,2418 Rayburn House Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emanuel Cleaver,,Emanuel,Cleaver,Emanuel Cleaver,10/26/44,M,rep,1/4/05,1/3/07,MO,5,Democrat,rep,1/4/07,1/3/09,MO,5,Democrat,rep,1/6/09,1/3/11,MO,5,Democrat,rep,1/5/11,1/3/13,MO,5,Democrat,rep,1/3/13,1/3/15,MO,5,Democrat,rep,1/6/15,1/3/17,MO,5,Democrat,http://cleaver.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/cleaver,,http://www.house.gov/cleaver,,,,,,,http://www.house.gov/cleaver,1433 Longworth HOB; Washington DC 20515-2505,202-225-4535,202-225-4403,http://www.house.gov/cleaver/IMA/issue.htm,1433 Longworth House Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II,,,,,,,,,,,,,,,,http://cleaver.house.gov,2335 Rayburn HOB; Washington DC 20515-2505,202-225-4535,202-225-4403,https://cleaver.house.gov/contact/email-me,2335 Rayburn House Office Building,,http://cleaver.house.gov/rss.xml,2335 Rayburn HOB; Washington DC 20515-2505,202-225-4535,202-225-4403,https://cleaver.house.gov/contact/email-me,2335 Rayburn House Office Building,,,,,,,,,,,,,,,,,http://cleaver.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Clyburn,James E. Clyburn,James,Clyburn,James E. Clyburn,7/21/40,M,rep,1/5/93,1/3/95,SC,6,Democrat,rep,1/4/95,1/3/97,SC,6,Democrat,rep,1/7/97,1/3/99,SC,6,Democrat,rep,1/6/99,1/3/01,SC,6,Democrat,rep,1/3/01,1/3/03,SC,6,Democrat,rep,1/7/03,1/3/05,SC,6,Democrat,http://www.house.gov/clyburn,rep,1/4/05,1/3/07,SC,6,Democrat,http://www.house.gov/clyburn,rep,1/4/07,1/3/09,SC,,Democrat,http://clyburn.house.gov,,,,,,rep,1/6/09,1/3/11,SC,Democrat,,http://clyburn.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,E.,6,6,rep,1/5/11,1/3/13,SC,6,Democrat,http://clyburn.house.gov,rep,1/3/13,1/3/15,SC,,Democrat,http://clyburn.house.gov,242 Cannon HOB; Washington DC 20515-4006,202-225-3315,202-225-2313,https://clyburn.house.gov/contact-me/email-me,242 Cannon House Office Building,rep,1/6/15,1/3/17,SC,Democrat,,http://clyburn.house.gov,242 Cannon HOB; Washington DC 20515-4006,202-225-3315,202-225-2313,https://clyburn.house.gov/contact-me/email-me,242 Cannon House Office Building,,http://clyburn.house.gov/rss.xml,,,,,,,,,,Jim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2135 Rayburn HOB; Washington DC 20515-4006,202-225-3315,202-225-2313,http://clyburn.house.gov/contact.cfm,2135 Rayburn House Office Building,,,,,,,http://clyburn.house.gov/rss.xml,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Coats,Dan Coats,Daniel,Coats,Daniel Coats,5/16/43,M,rep,1/5/81,1/3/83,IN,4,Republican,rep,1/3/83,1/3/85,IN,4,Republican,rep,1/3/85,1/3/87,IN,4,Republican,rep,1/6/87,1/3/89,IN,4,Republican,sen,1/3/89,1/3/93,IN,,Republican,sen,1/5/93,1/3/99,IN,,Republican,,sen,1/5/11,1/3/17,IN,,Republican,http://www.coats.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,493 Russell Senate Office Building Washington DC 20510,202-224-5623,202-228-1820,http://www.coats.senate.gov/contact/,493 Russell Senate Office Building,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,senior,http://www.coats.senate.gov/rss/feeds/?type=all&amp;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Coffman,Mike Coffman,Mike,Coffman,Mike Coffman,3/19/55,M,rep,1/6/09,1/3/11,CO,6,Republican,rep,1/5/11,1/3/13,CO,6,Republican,rep,1/3/13,1/3/15,CO,6,Republican,rep,1/6/15,1/3/17,CO,6,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://coffman.house.gov,,http://coffman.house.gov,2443 Rayburn HOB; Washington DC 20515-0606,202-225-7882,202-226-4623,https://coffman.house.gov/contact/email-me,2443 Rayburn House Office Building,,http://coffman.house.gov,2443 Rayburn HOB; Washington DC 20515-0606,202-225-7882,202-226-4623,https://coffman.house.gov/contact/email-me,2443 Rayburn House Office Building,,http://coffman.house.gov/index.php?format=feed&amp;type=rss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://coffman.house.gov,,,,,,1222 Longworth HOB; Washington DC 20515-0606,202-225-7882,202-226-4623,https://forms.house.gov/coffman/contact-form.shtml,1222 Longworth House Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://coffman.house.gov/index.php?format=feed&amp;type=rss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Cohen,,Steve,Cohen,Steve Cohen,5/24/49,M,rep,1/4/07,1/3/09,TN,9,Democrat,rep,1/6/09,1/3/11,TN,9,Democrat,rep,1/5/11,1/3/13,TN,9,Democrat,rep,1/3/13,1/3/15,TN,9,Democrat,rep,1/6/15,1/3/17,TN,9,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cohen.house.gov,,http://cohen.house.gov,1005 Longworth HOB; Washington DC 20515-4209,202-225-3265,202-225-5663,http://cohen.house.gov/index.php?option=com_email_form&amp;Itemid=113,1005 Longworth House Office Building,,http://cohen.house.gov,2404 Rayburn HOB; Washington DC 20515-4209,202-225-3265,202-225-5663,https://cohen.house.gov/contact-me/email-me,2404 Rayburn House Office Building,,http://cohen.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cohen.house.gov,,,,,,,,,,,,,,http://cohen.house.gov,2404 Rayburn HOB; Washington DC 20515-4209,202-225-3265,202-225-5663,https://cohen.house.gov/contact-me/email-me,2404 Rayburn House Office Building,,http://cohen.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Cole,Tom Cole,Tom,Cole,Tom Cole,4/28/49,M,rep,1/7/03,1/3/05,OK,4,Republican,rep,1/4/05,1/3/07,OK,4,Republican,rep,1/4/07,1/3/09,OK,4,Republican,rep,1/6/09,1/3/11,OK,4,Republican,rep,1/5/11,1/3/13,OK,4,Republican,rep,1/3/13,1/3/15,OK,4,Republican,http://cole.house.gov,rep,1/6/15,1/3/17,OK,4,Republican,http://cole.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/cole,,http://www.house.gov/cole,,,,,,,http://www.house.gov/cole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467 Rayburn HOB; Washington DC 20515-3604,202-225-6165,202-225-3512,https://coleforms.house.gov/contact/default.aspx,2467 Rayburn House Office Building,,,,,,http://www.house.gov/cole,,,,,,,,,,,,,,http://www.house.gov/cole,2458 Rayburn HOB; Washington DC 20515-3604,202-225-6165,202-225-3512,http://www.cole.house.gov/contact-tom.html,2458 Rayburn House Office Building,,,2458 Rayburn HOB; Washington DC 20515-3604,202-225-6165,202-225-3512,https://coleforms.house.gov/contact/default.aspx,2458 Rayburn House Office Building,,http://cole.house.gov/rss.xml,,,,,,,,,,,,,,,http://cole.house.gov/rss.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Conaway,Mike Conaway,K.,Conaway,K. Michael Conaway,6/11/48,M,rep,1/4/05,1/3/07,TX,11,Republican,rep,1/4/07,1/3/09,TX,11,Republican,rep,1/6/09,1/3/11,TX,11,Republican,rep,1/5/11,1/3/13,TX,11,Republican,rep,1/3/13,1/3/15,TX,11,Republican,rep,1/6/15,1/3/17,TX,11,Republican,http://conaway.house.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/conaway,,http://www.house.gov/conaway,,,,,,,http://www.house.gov/conaway,2430 Rayburn HOB; Washington DC 20515-4311,202-225-3605,202-225-1783,http://conaway.house.gov/Contact/default.aspx#email,2430 Rayburn House Office Building,,,Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://conaway.house.gov,2430 Rayburn HOB; Washington DC 20515-4311,202-225-3605,202-225-1783,https://conaway.house.gov/forms/writeyourrep/default.aspx,2430 Rayburn House Office Building,,,2430 Rayburn HOB; Washington DC 20515-4311,202-225-3605,202-225-1783,https://conaway.house.gov/forms/writeyourrep/default.aspx,2430 Rayburn House Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
