Rep
Bradley Byrne
Rod Blum
David Loebsack
David Young
Steve King
Roger Marshall
Lynn Jenkins
Kevin Yoder
Mike Pompeo
James Comer
Brett Guthrie
John Yarmuth
Thomas Massie
Hal Rogers
Andy Barr
Steve Scalise
Cedric Richmond
TBD
TBD
Ralph Abraham
Garret Graves
Chellie Pingree
Bruce Poliquin
Andy Harris
Dutch Ruppersberger
John Sarbanes
Anthony G. Brown
Steny Hoyer
John Delaney
Elijah Cummings
Jamie Raskin
Richard Neal
Jim McGovern
Niki Tsongas
Joseph P. Kennedy III
Katherine Clark
Seth Moulton
Mike Capuano
Stephen F. Lynch
Bill Keating
Jack Bergman
Bill Huizenga
Justin Amash
John Moolenaar
Dan Kildee
Fred Upton
Tim Walberg
Mike Bishop
Sander Levin
Paul Mitchell
Dave Trott
Debbie Dingell
John Conyers
Brenda Lawrence
Tim Walz
Jason Lewis
Erik Paulsen
Betty McCollum
Keith Ellison
Tom Emmer
Collin Peterson
Rick Nolan
Trent Kelly
Bennie Thompson
Gregg Harper
Steven Palazzo
Lacy Clay
Ann Wagner
Blaine Luetkemeyer
Vicky Hartzler
Emanuel Cleaver
Sam Graves
Billy Long
Jason Smith
Ryan Zinke
Jeff Fortenberry
Don Bacon
Adrian Smith
Dina Titus
Mark Amodei
Jacky Rosen
Ruben Kihuen
Carol Shea-Porter
Ann McLane Kuster
Donald Norcross
Frank LoBiondo
Tom MacArthur
Chris Smith
Josh Gottheimer
Frank Pallone
Leonard Lance
Albio Sires
Bill Pascrell
Donald Payne Jr.
Rodney Frelinghuysen
Bonnie Watson Coleman
Michelle Lujan Grisham
Steve Pearce
Ben Ray Lujan
Lee Zeldin
Peter T. King
Thomas Suozzi
Kathleen Rice
Gregory Meeks
Grace Meng
Nydia Velazquez
Hakeem Jeffries
Yvette Clarke
Jerrold Nadler
Dan Donovan
Carolyn Maloney
Adriano Espaillat
Joseph Crowley
Jose E. Serrano
Eliot Engel
Nita Lowey
Sean Patrick Maloney
John Faso
Paul Tonko
Elise Stefanik
Claudia Tenney
Tom Reed
John Katko
Louise Slaughter
Brian Higgins
Chris Collins
G. K. Butterfield
Walter B. Jones Jr.
George Holding
David Price
Virginia Foxx
Mark Walker
David Rouzer
Richard Hudson
Robert Pittenger
Patrick McHenry
Mark Meadows
Alma Adams
Ted Budd
Kevin Cramer
Steve Chabot
Brad Wenstrup
Joyce Beatty
Jim Jordan
Bob Latta
Bill Johnson
Bob Gibbs
Warren Davidson
Marcy Kaptur
Mike Turner
Marcia Fudge
Pat Tiberi
Tim Ryan
David Joyce
Steve Stivers
Jim Renacci
Jim Bridenstine
Markwayne Mullin
Frank Lucas
Tom Cole
Steve Russell
Suzanne Bonamici
Greg Walden
Earl Blumenauer
Peter DeFazio
Kurt Schrader
Bob Brady
Dwight Evans
Mike Kelly
Scott Perry
Glenn Thompson
Ryan Costello
Pat Meehan
Brian Fitzpatrick
Bill Shuster
Tom Marino
Lou Barletta
Keith Rothfus
Brendan Boyle
Michael F. Doyle
Charlie Dent
Lloyd Smucker
Matt Cartwright
Timothy F. Murphy
David Cicilline
James Langevin
Mark Sanford
Joe Wilson
Jeff Duncan
Trey Gowdy
Mick Mulvaney
Jim Clyburn
Tom Rice
Kristi Noem
Phil Roe
Jimmy Duncan
Chuck Fleischmann
Scott DesJarlais
Jim Cooper
Diane Black
Marsha Blackburn
David Kustoff
Steve Cohen
Louie Gohmert
Ted Poe
Sam Johnson
John Ratcliffe
Jeb Hensarling
Joe Barton
John Culberson
Kevin Brady
Al Green
Michael McCaul
Mike Conaway
Kay Granger
Mac Thornberry
Randy Weber
Vicente Gonzalez
Beto O'Rourke
Bill Flores
Sheila Jackson Lee
Jodey Arrington
Joaquin Castro
Lamar Smith
Pete Olson
Will Hurd
Kenny Marchant
Roger Williams
Michael Burgess
Blake Farenthold
Henry Cuellar
Gene Green
Eddie Bernice Johnson
John Carter
Pete Sessions
Marc Veasey
Filemon Vela Jr.
Lloyd Doggett
Brian Babin
Rob Bishop
Chris Stewart
Jason Chaffetz
Mia Love
Peter Welch
Rob Wittman
Scott Taylor
Bobby Scott
Donald McEachin
Thomas Garrett Jr.
Bob Goodlatte
Dave Brat
Don Beyer
Morgan Griffith
Barbara Comstock
Gerry Connolly
Suzan DelBene
Rick Larsen
Jaime Herrera Beutler
Dan Newhouse
Cathy McMorris Rodgers
Derek Kilmer
Pramila Jayapal
Dave Reichert
Adam Smith
Dennis Heck
David McKinley
Alex Mooney
Evan Jenkins
Paul Ryan
Mark Pocan
Ron Kind
Gwen Moore
Jim Sensenbrenner
Glenn Grothman
Sean Duffy
Mike Gallagher
Liz Cheney
